,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities,average price,market price,foil price
22,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205072&type=card,Magic 2011 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
23,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226589&type=card,Magic 2012 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.49"
24,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226589&type=card,Magic 2012 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
25,Act of Treason,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226589&type=card,Magic 2012 (Common),"['2', 'Red']",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and this turn.),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
26,Air Elemental,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189884&type=card,Magic 2010 (Uncommon),"['3', 'Blue', 'Blue']",5,Creature — Elemental (4/4),Flying,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
27,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191239&type=card,Magic 2010 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""",None,"MARKET
$13.67","FOIL
$12.47"
28,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191239&type=card,Magic 2010 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""",None,"MARKET
$13.67","FOIL
$12.47"
29,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205957&type=card,Magic 2011 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""",None,"MARKET
$13.67","FOIL
$12.47"
30,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205957&type=card,Magic 2011 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""",None,"MARKET
$13.67","FOIL
$12.47"
31,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189894&type=card,Magic 2010 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,None,"MARKET
$13.67","FOIL
$12.47"
32,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189894&type=card,Magic 2010 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
33,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189894&type=card,Magic 2010 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
34,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205073&type=card,Magic 2011 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,None,"MARKET
$13.67","FOIL
$12.47"
35,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205073&type=card,Magic 2011 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
36,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205073&type=card,Magic 2011 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
37,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=245188&type=card,Magic 2012 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,None,"MARKET
$13.67","FOIL
$12.47"
38,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=245188&type=card,Magic 2012 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
39,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=245188&type=card,Magic 2012 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
40,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191245&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
41,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191245&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
42,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191245&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
43,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206325&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
44,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206325&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
45,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206325&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
46,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221520&type=card,Magic 2012 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
47,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221520&type=card,Magic 2012 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
48,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221520&type=card,Magic 2012 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
49,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190549&type=card,Magic 2010 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
50,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190549&type=card,Magic 2010 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
51,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190549&type=card,Magic 2010 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
52,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=238569&type=card,Magic 2012 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
53,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=238569&type=card,Magic 2012 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
54,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=238569&type=card,Magic 2012 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
55,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259714&type=card,Magic 2013 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
56,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259714&type=card,Magic 2013 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
57,Angel's Mercy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259714&type=card,Magic 2013 (Common),"['2', 'White', 'White']",4,Instant,You gain 7 life.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
58,Ant Queen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191063&type=card,Magic 2010 (Rare),"['3', 'Green', 'Green']",5,Creature — Insect (5/5),: Create a 1/1 green Insect creature token.,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$1.35"
59,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193738&type=card,Magic 2010 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying.","AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
60,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193738&type=card,Magic 2010 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying.","AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
61,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204997&type=card,Magic 2011 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying.","AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
62,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204997&type=card,Magic 2011 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying.","AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
63,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193745&type=card,Magic 2010 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
64,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193745&type=card,Magic 2010 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.,"AVERAGE
$0.22","MARKET
$0.02","FOIL
$0.35"
65,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205217&type=card,Magic 2011 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
66,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205217&type=card,Magic 2011 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.,"AVERAGE
$0.22","MARKET
$0.02","FOIL
$0.35"
67,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189907&type=card,Magic 2010 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.","AVERAGE
$0.22","MARKET
$0.02","FOIL
$0.35"
68,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189907&type=card,Magic 2010 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.","AVERAGE
$0.25","MARKET
$0.04","FOIL
$0.42"
69,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205076&type=card,Magic 2011 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.","AVERAGE
$0.22","MARKET
$0.02","FOIL
$0.35"
70,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205076&type=card,Magic 2011 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.","AVERAGE
$0.25","MARKET
$0.04","FOIL
$0.42"
71,Ball Lightning,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191393&type=card,Magic 2010 (Rare),"['Red', 'Red', 'Red']",3,Creature — Elemental (6/1),"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.","AVERAGE
$0.25","MARKET
$0.04","FOIL
$3.60"
72,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191065&type=card,Magic 2010 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons","AVERAGE
$1.90","MARKET
$1.79","FOIL
$3.60"
73,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191065&type=card,Magic 2010 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons","AVERAGE
$2.67","MARKET
$2.29","FOIL
$3.77"
74,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205077&type=card,Magic 2011 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons","AVERAGE
$1.90","MARKET
$1.79","FOIL
$3.60"
75,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205077&type=card,Magic 2011 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons","AVERAGE
$2.67","MARKET
$2.29","FOIL
$3.77"
76,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191071&type=card,Magic 2010 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.29"
77,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191071&type=card,Magic 2010 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.29"
78,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205053&type=card,Magic 2011 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.29"
79,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205053&type=card,Magic 2011 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.29"
80,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191080&type=card,Magic 2010 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
81,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191080&type=card,Magic 2010 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
82,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191080&type=card,Magic 2010 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
83,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207334&type=card,Magic 2011 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
84,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207334&type=card,Magic 2011 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
85,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207334&type=card,Magic 2011 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
86,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221896&type=card,Magic 2012 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
87,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221896&type=card,Magic 2012 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
88,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221896&type=card,Magic 2012 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color.","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
89,Black Knight,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190540&type=card,Magic 2010 (Uncommon),"['Black', 'Black']",2,Creature — Human Knight (2/2),"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)","AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
90,Black Knight,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190540&type=card,Magic 2010 (Uncommon),"['Black', 'Black']",2,Creature — Human Knight (2/2),"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)","AVERAGE
$0.25","MARKET
$0.16","FOIL
$0.83"
