,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
27,Bog-Strider Ash,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139410&type=card,Lorwyn (Common),"['3', 'Green']",4,Creature — Treefolk Shaman (2/4),"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Whenever a player casts a Goblin spell, you may pay . If you do, you gain 2 life."
28,Briarhorn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142365&type=card,Lorwyn (Uncommon),"['3', 'Green']",4,Creature — Elemental (3/3),"Flash
When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
29,"Brigid, Hero of Kinsbaile",https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141829&type=card,Lorwyn (Rare),"['2', 'White', 'White']",4,Legendary Creature — Kithkin Archer (2/3),"First strike
: Brigid, Hero of Kinsbaile deals 2 damage to each attacking or blocking creature target player controls."
30,Brion Stoutarm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140217&type=card,Lorwyn (Rare),"['2', 'Red', 'White']",4,Legendary Creature — Giant Warrior (4/4),"Lifelink
, , Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker."
31,Broken Ambitions,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145989&type=card,Lorwyn (Common),"['Variable Colorless', 'Blue']",1,Instant,"Counter target spell unless its controller pays . Clash with an opponent. If you win, that spell's controller mills four cards. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
32,Burrenton Forge-Tender,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139395&type=card,Lorwyn (Uncommon),['White'],1,Creature — Kithkin Wizard (1/1),"Protection from red
Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn."
33,Cairn Wanderer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140171&type=card,Lorwyn (Rare),"['4', 'Black']",5,Creature — Shapeshifter (4/4),"Changeling (This card is every creature type.)
As long as a creature card with flying is in a graveyard, Cairn Wanderer has flying. The same is true for fear, first strike, double strike, deathtouch, haste, landwalk, lifelink, protection, reach, trample, shroud, and vigilance."
34,Captivating Glance,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146172&type=card,Lorwyn (Uncommon),"['2', 'Blue']",3,Enchantment — Aura,"Enchant creature
At the beginning of your end step, clash with an opponent. If you win, gain control of enchanted creature. Otherwise, that player gains control of enchanted creature. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
35,Caterwauling Boggart,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139471&type=card,Lorwyn (Common),"['3', 'Red']",4,Creature — Goblin Shaman (2/2),Goblins you control and Elementals you control have menace. (They can't be blocked except by two or more creatures.)
36,Ceaseless Searblades,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139466&type=card,Lorwyn (Uncommon),"['3', 'Red']",4,Creature — Elemental Warrior (2/4),"Whenever you activate an ability of an Elemental, Ceaseless Searblades gets +1/+0 until end of turn."
37,Cenn's Heir,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142360&type=card,Lorwyn (Common),"['1', 'White']",2,Creature — Kithkin Soldier (1/1),"Whenever Cenn's Heir attacks, it gets +1/+1 until end of turn for each other attacking Kithkin."
38,Chandra Nalaar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140176&type=card,Lorwyn (Rare),"['3', 'Red', 'Red']",5,Legendary Planeswalker — Chandra (6),"+1: Chandra Nalaar deals 1 damage to target player or planeswalker.
−X: Chandra Nalaar deals X damage to target creature.
−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls."
39,Changeling Berserker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145804&type=card,Lorwyn (Uncommon),"['3', 'Red']",4,Creature — Shapeshifter (5/3),"Changeling (This card is every creature type.)
Haste
Champion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.)"
40,Changeling Hero,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145968&type=card,Lorwyn (Uncommon),"['4', 'White']",5,Creature — Shapeshifter (4/4),"Changeling (This card is every creature type.)
Champion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
41,Changeling Titan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140345&type=card,Lorwyn (Uncommon),"['4', 'Green']",5,Creature — Shapeshifter (7/7),"Changeling (This card is every creature type.)
Champion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.)"
42,Cloudcrown Oak,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139492&type=card,Lorwyn (Common),"['2', 'Green', 'Green']",4,Creature — Treefolk Warrior (3/4),Reach (This creature can block creatures with flying.)
43,Cloudgoat Ranger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139664&type=card,Lorwyn (Uncommon),"['3', 'White', 'White']",5,Creature — Giant Warrior (3/3),"When Cloudgoat Ranger enters the battlefield, create three 1/1 white Kithkin Soldier creature tokens.
Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn."
44,Cloudthresher,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146173&type=card,Lorwyn (Rare),"['2', 'Green', 'Green', 'Green', 'Green']",6,Creature — Elemental (7/7),"Flash
Reach
When Cloudthresher enters the battlefield, it deals 2 damage to each creature with flying and each player.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
45,Colfenor's Plans,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146581&type=card,Lorwyn (Rare),"['2', 'Black', 'Black']",4,Enchantment,"When Colfenor's Plans enters the battlefield, exile the top seven cards of your library face down.
You may look at the cards exiled with Colfenor's Plans, and you may play lands and cast spells from among those cards.
Skip your draw step.
You can't cast more than one spell each turn."
46,Colfenor's Urn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140209&type=card,Lorwyn (Rare),['3'],3,Artifact,"Whenever a creature with toughness 4 or greater is put into your graveyard from the battlefield, you may exile it.
At the beginning of the end step, if three or more cards have been exiled with Colfenor's Urn, sacrifice it. If you do, return those cards to the battlefield under their owner's control."
47,Consuming Bonfire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139688&type=card,Lorwyn (Common),"['3', 'Red', 'Red']",5,Tribal Sorcery — Elemental,"Choose one —
• Consuming Bonfire deals 4 damage to target non-Elemental creature.
• Consuming Bonfire deals 7 damage to target Treefolk creature."
48,Crib Swap,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143380&type=card,Lorwyn (Uncommon),"['2', 'White']",3,Tribal Instant — Shapeshifter,"Changeling (This card is every creature type.)
Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling."
49,Crush Underfoot,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143384&type=card,Lorwyn (Uncommon),"['1', 'Red']",2,Tribal Instant — Giant,Choose a Giant creature you control. It deals damage equal to its power to target creature.
50,Cryptic Command,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141819&type=card,Lorwyn (Rare),"['1', 'Blue', 'Blue', 'Blue']",4,Instant,"Choose two —
• Counter target spell.
• Return target permanent to its owner's hand.
• Tap all creatures your opponents control.
• Draw a card."
51,Dauntless Dourbark,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141851&type=card,Lorwyn (Rare),"['3', 'Green']",4,Creature — Treefolk Warrior (*/*),"Dauntless Dourbark's power and toughness are each equal to the number of Forests you control plus the number of Treefolk you control.
Dauntless Dourbark has trample as long as you control another Treefolk."
52,Dawnfluke,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145801&type=card,Lorwyn (Common),"['3', 'White']",4,Creature — Elemental (0/3),"Flash
When Dawnfluke enters the battlefield, prevent the next 3 damage that would be dealt to any target this turn.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
53,Deathrender,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139727&type=card,Lorwyn (Rare),['4'],4,Artifact — Equipment,"Equipped creature gets +2/+2.
Whenever equipped creature dies, you may put a creature card from your hand onto the battlefield and attach Deathrender to it.
Equip"
54,Deeptread Merrow,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142352&type=card,Lorwyn (Common),"['1', 'Blue']",2,Creature — Merfolk Rogue (2/1),: Deeptread Merrow gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)
55,Dolmen Gate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140206&type=card,Lorwyn (Rare),['2'],2,Artifact,Prevent all combat damage that would be dealt to attacking creatures you control.
56,"Doran, the Siege Tower",https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140201&type=card,Lorwyn (Rare),"['White', 'Black', 'Green']",3,Legendary Creature — Treefolk Shaman (0/5),Each creature assigns combat damage equal to its toughness rather than its power.
57,Dread,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140168&type=card,Lorwyn (Rare),"['3', 'Black', 'Black', 'Black']",6,Creature — Elemental Incarnation (6/6),"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever a creature deals damage to you, destroy it.
When Dread is put into a graveyard from anywhere, shuffle it into its owner's library."
58,Dreamspoiler Witches,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139453&type=card,Lorwyn (Common),"['3', 'Black']",4,Creature — Faerie Wizard (2/2),"Flying
Whenever you cast a spell during an opponent's turn, you may have target creature get -1/-1 until end of turn."
59,Drowner of Secrets,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145979&type=card,Lorwyn (Uncommon),"['2', 'Blue']",3,Creature — Merfolk Wizard (1/3),Tap an untapped Merfolk you control: Target player mills a card.
60,Ego Erasure,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139692&type=card,Lorwyn (Uncommon),"['2', 'Blue']",3,Tribal Instant — Shapeshifter,"Changeling (This card is every creature type.)
Creatures target player controls get -2/-0 and lose all creature types until end of turn."
61,Elvish Branchbender,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146169&type=card,Lorwyn (Common),"['2', 'Green']",3,Creature — Elf Druid (2/2),": Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control."
62,Elvish Eulogist,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141804&type=card,Lorwyn (Common),['Green'],1,Creature — Elf Shaman (1/1),Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.
63,Elvish Handservant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146179&type=card,Lorwyn (Common),['Green'],1,Creature — Elf Warrior (1/1),"Whenever a player casts a Giant spell, you may put a +1/+1 counter on Elvish Handservant."
64,Elvish Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139485&type=card,Lorwyn (Uncommon),"['2', 'Green']",3,Creature — Elf Druid (1/2),"When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle and put that card on top.
: Add one mana of any color."
65,Elvish Promenade,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139676&type=card,Lorwyn (Uncommon),"['3', 'Green']",4,Tribal Sorcery — Elf,Create a 1/1 green Elf Warrior creature token for each Elf you control.
66,Entangling Trap,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146583&type=card,Lorwyn (Uncommon),"['1', 'White']",2,Enchantment,"Whenever you clash, tap target creature an opponent controls. If you won, that creature doesn't untap during its controller's next untap step. (This ability triggers after the clash ends.)"
67,Epic Proportions,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143732&type=card,Lorwyn (Rare),"['4', 'Green', 'Green']",6,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +5/+5 and has trample."
68,Ethereal Whiskergill,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139431&type=card,Lorwyn (Uncommon),"['3', 'Blue']",4,Creature — Elemental (4/3),"Flying
Ethereal Whiskergill can't attack unless defending player controls an Island."
69,Exiled Boggart,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146443&type=card,Lorwyn (Common),"['1', 'Black']",2,Creature — Goblin Rogue (2/2),"When Exiled Boggart dies, discard a card."
70,Eyeblight's Ending,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139449&type=card,Lorwyn (Common),"['2', 'Black']",3,Tribal Instant — Elf,Destroy target non-Elf creature.
71,Eyes of the Wisent,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143728&type=card,Lorwyn (Rare),"['1', 'Green']",2,Tribal Enchantment — Elemental,"Whenever an opponent casts a blue spell during your turn, you may create a 4/4 green Elemental creature token."
72,Facevaulter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142361&type=card,Lorwyn (Common),['Black'],1,Creature — Goblin Warrior (1/1),", Sacrifice a Goblin: Facevaulter gets +2/+2 until end of turn."
73,Faerie Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139427&type=card,Lorwyn (Uncommon),"['3', 'Blue']",4,Creature — Faerie Wizard (2/2),"Flash
Flying
When Faerie Harbinger enters the battlefield, you may search your library for a Faerie card, reveal it, then shuffle and put that card on top."
74,Faerie Tauntings,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139685&type=card,Lorwyn (Uncommon),"['2', 'Black']",3,Tribal Enchantment — Faerie,"Whenever you cast a spell during an opponent's turn, you may have each opponent lose 1 life."
75,Faerie Trickery,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139435&type=card,Lorwyn (Common),"['1', 'Blue', 'Blue']",3,Tribal Instant — Faerie,"Counter target non-Faerie spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
76,Fallowsage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145803&type=card,Lorwyn (Uncommon),"['3', 'Blue']",4,Creature — Merfolk Wizard (2/2),"Whenever Fallowsage becomes tapped, you may draw a card."
77,Familiar's Ruse,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146584&type=card,Lorwyn (Uncommon),"['Blue', 'Blue']",2,Instant,"As an additional cost to cast this spell, return a creature you control to its owner's hand.
Counter target spell."
78,Fathom Trawl,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146170&type=card,Lorwyn (Rare),"['3', 'Blue', 'Blue']",5,Sorcery,"Reveal cards from the top of your library until you reveal three nonland cards. Put the nonland cards revealed this way into your hand, then put the rest of the revealed cards on the bottom of your library in any order."
79,Faultgrinder,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145964&type=card,Lorwyn (Common),"['6', 'Red']",7,Creature — Elemental (4/4),"Trample
When Faultgrinder enters the battlefield, destroy target land.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
80,Favor of the Mighty,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143683&type=card,Lorwyn (Rare),"['1', 'White']",2,Tribal Enchantment — Giant,Each creature with the highest mana value has protection from all colors.
81,Fertile Ground,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139502&type=card,Lorwyn (Common),"['1', 'Green']",2,Enchantment — Aura,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color."
82,Final Revels,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146171&type=card,Lorwyn (Uncommon),"['4', 'Black']",5,Sorcery,"Choose one —
• All creatures get +2/+0 until end of turn.
• All creatures get -0/-2 until end of turn."
83,Fire-Belly Changeling,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140338&type=card,Lorwyn (Common),"['1', 'Red']",2,Creature — Shapeshifter (1/1),"Changeling (This card is every creature type.)
: Fire-Belly Changeling gets +1/+0 until end of turn. Activate no more than twice each turn."
84,Fistful of Force,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143372&type=card,Lorwyn (Common),"['1', 'Green']",2,Instant,"Target creature gets +2/+2 until end of turn. Clash with an opponent. If you win, that creature gets an additional +2/+2 and gains trample until end of turn. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
85,Flamekin Bladewhirl,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140343&type=card,Lorwyn (Uncommon),['Red'],1,Creature — Elemental Warrior (2/1),"As an additional cost to cast this spell, reveal an Elemental card from your hand or pay ."
86,Flamekin Brawler,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139461&type=card,Lorwyn (Common),['Red'],1,Creature — Elemental Warrior (0/2),: Flamekin Brawler gets +1/+0 until end of turn.
87,Flamekin Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139463&type=card,Lorwyn (Uncommon),['Red'],1,Creature — Elemental Shaman (1/1),"When Flamekin Harbinger enters the battlefield, you may search your library for an Elemental card, reveal it, then shuffle and put that card on top."
88,Flamekin Spitfire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139728&type=card,Lorwyn (Uncommon),"['1', 'Red']",2,Creature — Elemental Shaman (1/1),: Flamekin Spitfire deals 1 damage to any target.
89,Fodder Launch,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146447&type=card,Lorwyn (Uncommon),"['3', 'Black']",4,Tribal Sorcery — Goblin,"As an additional cost to cast this spell, sacrifice a Goblin.
Target creature gets -5/-5 until end of turn. Fodder Launch deals 5 damage to that creature's controller."
90,Footbottom Feast,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139440&type=card,Lorwyn (Common),"['2', 'Black']",3,Instant,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card."
91,Forced Fruition,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146166&type=card,Lorwyn (Rare),"['4', 'Blue', 'Blue']",6,Enchantment,"Whenever an opponent casts a spell, that player draws seven cards."
92,Forest,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143633&type=card,Lorwyn (Land),"['4', 'Blue', 'Blue']",0,Basic Land — Forest,
93,Gaddock Teeg,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140188&type=card,Lorwyn (Rare),"['Green', 'White']",2,Legendary Creature — Kithkin Advisor (2/2),"Noncreature spells with mana value 4 or greater can't be cast.
Noncreature spells with in their mana costs can't be cast."
94,Galepowder Mage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139666&type=card,Lorwyn (Rare),"['3', 'White']",4,Creature — Kithkin Wizard (3/3),"Flying
Whenever Galepowder Mage attacks, exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step."
95,Garruk Wildspeaker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140205&type=card,Lorwyn (Rare),"['2', 'Green', 'Green']",4,Legendary Planeswalker — Garruk (3),"+1: Untap two target lands.
−1: Create a 3/3 green Beast creature token.
−4: Creatures you control get +3/+3 and gain trample until end of turn."
96,Ghostly Changeling,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139447&type=card,Lorwyn (Uncommon),"['2', 'Black']",3,Creature — Shapeshifter (2/2),"Changeling (This card is every creature type.)
: Ghostly Changeling gets +1/+1 until end of turn."
