card name,average price,market price,foil price
Elvish Harbinger,"AVERAGE
$0.24","MARKET
$0.18","FOIL
$0.30"
Elvish Promenade,"AVERAGE
$12.34","MARKET
$11.85","FOIL
$27.92"
Entangling Trap,"AVERAGE
$3.52","MARKET
$4.51","FOIL
$22.49"
Epic Proportions,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.33"
Ethereal Whiskergill,"AVERAGE
$0.45","MARKET
$0.33","FOIL
$1.19"
Exiled Boggart,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.37"
Eyeblight's Ending,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.29"
Eyes of the Wisent,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.89"
Facevaulter,"AVERAGE
$0.53","MARKET
$0.45","FOIL
$0.34"
Faerie Harbinger,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.34"
Faerie Tauntings,"AVERAGE
$0.97","MARKET
$0.32","FOIL
$5.77"
Faerie Trickery,"AVERAGE
$0.31","MARKET
$0.32","FOIL
$4.25"
Fallowsage,"AVERAGE
$0.39","MARKET
$0.36","FOIL
$4.25"
Familiar's Ruse,"AVERAGE
$0.64","MARKET
$0.63","FOIL
$4.18"
Fathom Trawl,"AVERAGE
$0.72","MARKET
$0.36","FOIL
$0.99"
Faultgrinder,"AVERAGE
$0.44","MARKET
$0.36","FOIL
$0.99"
Favor of the Mighty,"AVERAGE
$0.22","MARKET
$0.11","FOIL
$0.48"
Fertile Ground,"AVERAGE
$0.66","MARKET
$0.19","FOIL
$1.81"
Final Revels,"AVERAGE
$0.25","MARKET
$0.19","FOIL
$1.81"
Fire-Belly Changeling,"AVERAGE
$0.25","MARKET
$0.47","FOIL
$6.95"
Fistful of Force,"AVERAGE
$0.39","MARKET
$0.47","FOIL
$6.95"
Flamekin Bladewhirl,"AVERAGE
$0.24","MARKET
$0.03","FOIL
$0.33"
Flamekin Brawler,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.44"
Flamekin Harbinger,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.33"
Flamekin Spitfire,"AVERAGE
$3.59","MARKET
$2.77","FOIL
$0.44"
Fodder Launch,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.65"
Footbottom Feast,"AVERAGE
$0.29","MARKET
$0.26","FOIL
$0.65"
Forced Fruition,"AVERAGE
$0.26","MARKET
$0.24","FOIL
$0.55"
Forest,"AVERAGE
$14.95","MARKET
$15.67","FOIL
$44.05"
Gaddock Teeg,"AVERAGE
$1.64","MARKET
$1.33",None
Galepowder Mage,"AVERAGE
$6.29","MARKET
$5.29","FOIL
$27.22"
Garruk Wildspeaker,"AVERAGE
$0.49","MARKET
$0.40","FOIL
$2.34"
Ghostly Changeling,"AVERAGE
$6.41","MARKET
$5.42","FOIL
$15.62"
Giant Harbinger,"AVERAGE
$0.27","MARKET
$0.44","FOIL
$8.99"
Giant's Ire,"AVERAGE
$0.48","MARKET
$0.44","FOIL
$8.99"
Gilt-Leaf Ambush,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.39"
Gilt-Leaf Palace,"AVERAGE
$0.25","MARKET
$0.21","FOIL
$0.97"
Gilt-Leaf Seer,"AVERAGE
$16.73","MARKET
$17.66","FOIL
$65.99"
Glarewielder,"AVERAGE
$0.24","MARKET
$0.17","FOIL
$0.49"
Glen Elendra Pranksters,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.49"
Glimmerdust Nap,"AVERAGE
$0.30","MARKET
$0.22","FOIL
$1.25"
Goatnapper,"AVERAGE
$0.22","MARKET
$0.07","FOIL
$0.29"
Goldmeadow Dodger,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.50"
Goldmeadow Harrier,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.32"
Goldmeadow Stalwart,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.85"
Guardian of Cloverdell,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.41"
Guile,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.41"
Hamletback Goliath,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.26"
Harpoon Sniper,"AVERAGE
$0.35","MARKET
$0.18","FOIL
$0.74"
Heal the Scars,"AVERAGE
$0.30","MARKET
$0.24","FOIL
$0.76"
Hearthcage Giant,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.37"
Heat Shimmer,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.47"
Herbal Poultice,"AVERAGE
$3.41","MARKET
$0.27","FOIL
$2.16"
Hillcomber Giant,"AVERAGE
$0.32","MARKET
$0.27","FOIL
$2.16"
Hoarder's Greed,"AVERAGE
$0.22","MARKET
$0.07","FOIL
$0.28"
Hoofprints of the Stag,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$1.75"
Horde of Notions,"AVERAGE
$0.43","MARKET
$0.37","FOIL
$16.34"
Hornet Harasser,"AVERAGE
$0.86","MARKET
$0.07","FOIL
$0.30"
Hostility,"AVERAGE
$0.21","MARKET
$0.07","FOIL
$0.30"
Howltooth Hollow,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$2.41"
Hunt Down,"AVERAGE
$0.53","MARKET
$0.41","FOIL
$2.41"
Hunter of Eyeblights,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.29"
Hurly-Burly,"AVERAGE
$0.28","MARKET
$0.24","FOIL
$0.54"
Immaculate Magistrate,"AVERAGE
$0.22","MARKET
$0.05","FOIL
$0.30"
Imperious Perfect,"AVERAGE
$1.97","MARKET
$2.06","FOIL
$5.66"
Incandescent Soulstoke,"AVERAGE
$1.32","MARKET
$1.20","FOIL
$5.70"
Incendiary Command,"AVERAGE
$1.84","MARKET
$1.82","FOIL
$7.50"
Incremental Growth,"AVERAGE
$2.84","MARKET
$2.06","FOIL
$6.26"
Ingot Chewer,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.47"
Inkfathom Divers,"AVERAGE
$0.39","MARKET
$0.26","FOIL
$0.30"
Inner-Flame Acolyte,"AVERAGE
$0.23","MARKET
$0.08","FOIL
$0.30"
Inner-Flame Igniter,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.42"
Island,"AVERAGE
$0.24","MARKET
$731.91",None
Jace Beleren,"AVERAGE
$800.97","MARKET
$3.63","FOIL
$12.96"
Jagged-Scar Archers,"AVERAGE
$3.74","MARKET
$3.63","FOIL
$12.96"
Judge of Currents,"AVERAGE
$0.50","MARKET
$0.32","FOIL
$3.50"
Kinsbaile Balloonist,"AVERAGE
$0.25","MARKET
$0.20","FOIL
$0.88"
Kinsbaile Skirmisher,"AVERAGE
$0.21","MARKET
$0.10","FOIL
$0.32"
Kithkin Daggerdare,"AVERAGE
$0.21","MARKET
$0.08","FOIL
$0.29"
Kithkin Greatheart,"AVERAGE
$0.21","MARKET
$0.08","FOIL
$0.29"
Kithkin Harbinger,"AVERAGE
$0.22","MARKET
$0.07","FOIL
$0.28"
Kithkin Healer,"AVERAGE
$0.30","MARKET
$0.14","FOIL
$0.30"
Kithkin Mourncaller,"AVERAGE
$0.22","MARKET
$0.14","FOIL
$0.30"
Knight of Meadowgrain,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.49"
Knucklebone Witch,"AVERAGE
$1.21","MARKET
$1.11","FOIL
$3.97"
Lace with Moonglove,"AVERAGE
$2.00","MARKET
$1.60","FOIL
$5.19"
Lairwatch Giant,"AVERAGE
$0.21","MARKET
$0.14","FOIL
$0.29"
Lammastide Weave,"AVERAGE
$0.22","MARKET
$0.10","FOIL
$0.39"
Lash Out,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.59"
Leaf Gilder,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.59"
Lignify,"AVERAGE
$0.22","MARKET
$0.06",None
Liliana Vess,"AVERAGE
$0.84","MARKET
$0.75",None
Lowland Oaf,"AVERAGE
$9.26","MARKET
$9.46","FOIL
$0.28"
Lys Alana Huntmaster,"AVERAGE
$0.22","MARKET
$0.09","FOIL
$0.28"
Lys Alana Scarblade,"AVERAGE
$0.48","MARKET
$0.45","FOIL
$6.49"
Mad Auntie,"AVERAGE
$0.28","MARKET
$0.22","FOIL
$0.79"
Makeshift Mannequin,"AVERAGE
$0.82","MARKET
$0.98","FOIL
$3.21"
Marsh Flitter,"AVERAGE
$0.33","MARKET
$0.22","FOIL
$3.57"
Masked Admirers,"AVERAGE
$0.27","MARKET
$0.23","FOIL
$1.91"
Merrow Commerce,"AVERAGE
$0.43","MARKET
$0.32","FOIL
$1.38"
Merrow Harbinger,"AVERAGE
$4.27","MARKET
$3.54","FOIL
$6.80"
Merrow Reejerey,"AVERAGE
$8.58","MARKET
$5.97","FOIL
$15.68"
Militia's Pride,"AVERAGE
$8.58","MARKET
$1.52","FOIL
$3.25"
Mirror Entity,"AVERAGE
$3.28","MARKET
$3.77","FOIL
$31.00"
Mistbind Clique,"AVERAGE
$3.28","MARKET
$3.77","FOIL
$31.00"
Moonglove Extract,"AVERAGE
$9.49","MARKET
$9.28","FOIL
$22.66"
Moonglove Winnower,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.39"
Mosswort Bridge,"AVERAGE
$0.23","MARKET
$0.07","FOIL
$62.34"
Mountain,"AVERAGE
$1.11","MARKET
$1.45","FOIL
$62.34"
Mournwhelk,"AVERAGE
$2.51","MARKET
$2.61",None
Mudbutton Torchrunner,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.72"
Mulldrifter,"AVERAGE
$0.24","MARKET
$0.13","FOIL
$0.72"
Nameless Inversion,"AVERAGE
$25.87","MARKET
$24.37",None
Nath of the Gilt-Leaf,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$1.24"
Nath's Buffoon,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.31"
Nath's Elite,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.31"
Neck Snap,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.36"
Nectar Faerie,"AVERAGE
$0.22","MARKET
$0.06","FOIL
$0.27"
Needle Drop,"AVERAGE
$0.36","MARKET
$1.03","FOIL
$5.84"
Nettlevine Blight,"AVERAGE
$1.14","MARKET
$1.03","FOIL
$5.84"
Nightshade Stinger,"AVERAGE
$0.25","MARKET
$0.22","FOIL
$1.10"
Nova Chaser,"AVERAGE
$0.25","MARKET
$0.22","FOIL
$1.10"
Oaken Brawler,"AVERAGE
$3.50","MARKET
$3.43","FOIL
$7.55"
Oakgnarl Warrior,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.49"
Oblivion Ring,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.49"
Oona's Prowler,"AVERAGE
$0.41","MARKET
$0.28","FOIL
$9.99"
Paperfin Rascal,"AVERAGE
$2.42","MARKET
$2.46","FOIL
$9.99"
Peppersmoke,"AVERAGE
$0.24","MARKET
$0.07","FOIL
$0.29"
Pestermite,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$15.74"
Plains,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$15.74"
Plover Knights,None,"MARKET
$3.90","FOIL
$4.00"
Pollen Lullaby,"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.46"
Ponder,"AVERAGE
$0.27","MARKET
$0.18","FOIL
$0.77"
Primal Command,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.43"
Profane Command,"AVERAGE
$1.90","MARKET
$2.35","FOIL
$8.41"
Protective Bubble,"AVERAGE
$0.76","MARKET
$0.63","FOIL
$5.15"
Prowess of the Fair,"AVERAGE
$0.25","MARKET
$0.26","FOIL
$1.03"
Purity,"AVERAGE
$0.53","MARKET
$0.54","FOIL
$33.01"
Quill-Slinger Boggart,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.33"
Rebellion of the Flamekin,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.33"
Rings of Brighthearth,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.42"
Ringskipper,"AVERAGE
$9.93","MARKET
$10.72","FOIL
$72.99"
Rootgrapple,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.73"
Runed Stalactite,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.73"
Scarred Vinebreeder,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.53"
Scattering Stroke,"AVERAGE
$0.22","MARKET
$0.09","FOIL
$1.29"
Scion of Oona,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$1.29"
Secluded Glen,"AVERAGE
$10.21","MARKET
$10.77","FOIL
$19.47"
Seedguide Ash,"AVERAGE
$6.26","MARKET
$1.01","FOIL
$4.13"
Sentinels of Glen Elendra,"AVERAGE
$0.85","MARKET
$1.01","FOIL
$0.30"
Sentry Oak,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.30"
Shapesharer,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.41"
Shelldock Isle,"AVERAGE
$14.57","MARKET
$13.34","FOIL
$38.22"
Shields of Velis Vel,"AVERAGE
$9.60","MARKET
$9.60","FOIL
$51.17"
Shimmering Grotto,"AVERAGE
$0.50","MARKET
$0.50","FOIL
$8.05"
Shriekmaw,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.36"
Silvergill Adept,"AVERAGE
$0.63","MARKET
$0.48","FOIL
$7.43"
Silvergill Douser,"AVERAGE
$0.63","MARKET
$0.48","FOIL
$7.43"
Skeletal Changeling,"AVERAGE
$0.25","MARKET
$0.16","FOIL
$0.61"
Smokebraider,"AVERAGE
$0.50","MARKET
$0.51","FOIL
$7.12"
Soaring Hope,"AVERAGE
$0.28","MARKET
$0.27","FOIL
$3.90"
Soulbright Flamekin,"AVERAGE
$0.25","MARKET
$0.08","FOIL
$0.38"
Sower of Temptation,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.80"
Spellstutter Sprite,"AVERAGE
$5.00","MARKET
$4.58","FOIL
$19.00"
Spiderwig Boggart,"AVERAGE
$2.29","MARKET
$2.20","FOIL
$12.82"
Spinerock Knoll,"AVERAGE
$0.22","MARKET
$0.10","FOIL
$0.30"
Spring Cleaning,"AVERAGE
$1.68","MARKET
$2.07","FOIL
$27.99"
Springjack Knight,"AVERAGE
$0.25","MARKET
$0.24","FOIL
$1.25"
Springleaf Drum,"AVERAGE
$0.24","MARKET
$1.17","FOIL
$14.91"
Squeaking Pie Sneak,"AVERAGE
$1.06","MARKET
$1.17","FOIL
$14.91"
Stinkdrinker Daredevil,"AVERAGE
$0.25","MARKET
$0.16","FOIL
$1.97"
Stonybrook Angler,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.58"
Streambed Aquitects,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.74"
Summon the School,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.74"
Sunrise Sovereign,"AVERAGE
$0.30","MARKET
$0.44","FOIL
$3.18"
Surge of Thoughtweft,"AVERAGE
$0.51","MARKET
$0.44","FOIL
$0.35"
Surgespanner,"AVERAGE
$0.22","MARKET
$0.12","FOIL
$0.35"
Swamp,"AVERAGE
$3.74","MARKET
$3.70","FOIL
$8.01"
"Sygg, River Guide","AVERAGE
$0.94","MARKET
$1.02","FOIL
$9.40"
Sylvan Echoes,"AVERAGE
$0.94","MARKET
$1.02","FOIL
$9.40"
Tar Pitcher,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.43"
Tarfire,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.43"
Thieving Sprite,"AVERAGE
$0.37","MARKET
$0.29","FOIL
$0.49"
Thorn of Amethyst,"AVERAGE
$27.00","MARKET
$27.12","FOIL
$76.17"
Thorntooth Witch,"AVERAGE
$27.00","MARKET
$27.12","FOIL
$76.17"
Thoughtseize,"AVERAGE
$0.25","MARKET
$32.41","FOIL
$353.69"
Thoughtweft Trio,"AVERAGE
$29.11","MARKET
$32.41","FOIL
$353.69"
Thousand-Year Elixir,"AVERAGE
$0.49","MARKET
$0.43","FOIL
$1.39"
Thundercloud Shaman,"AVERAGE
$21.16","MARKET
$24.63","FOIL
$0.55"
Tideshaper Mystic,"AVERAGE
$0.27","MARKET
$0.22","FOIL
$0.55"
Timber Protector,"AVERAGE
$0.25","MARKET
$16.58","FOIL
$67.17"
Treefolk Harbinger,"AVERAGE
$19.95","MARKET
$16.58","FOIL
$67.17"
Triclopean Sight,"AVERAGE
$1.55","MARKET
$2.05","FOIL
$6.26"
Turtleshell Changeling,"AVERAGE
$0.25","MARKET
$0.24","FOIL
$0.79"
Twinning Glass,"AVERAGE
$0.31","MARKET
$0.33","FOIL
$1.04"
Veteran of the Depths,"AVERAGE
$0.47","MARKET
$0.33","FOIL
$0.44"
Vigor,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.30"
Vivid Crag,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$2.60"
Vivid Creek,"AVERAGE
$0.80","MARKET
$0.74","FOIL
$2.09"
Vivid Grove,"AVERAGE
$0.66","MARKET
$0.67","FOIL
$2.49"
Vivid Marsh,"AVERAGE
$0.55","MARKET
$0.55","FOIL
$2.49"
Vivid Meadow,"AVERAGE
$1.75","MARKET
$1.93","FOIL
$5.89"
Wanderer's Twig,"AVERAGE
$1.30","MARKET
$1.52","FOIL
$3.24"
Wanderwine Hub,"AVERAGE
$0.49","MARKET
$0.49","FOIL
$3.24"
Wanderwine Prophets,"AVERAGE
$11.00","MARKET
$6.48","FOIL
$15.70"
Warren Pilferers,"AVERAGE
$5.09","MARKET
$0.12","FOIL
$0.49"
Warren-Scourge Elf,"AVERAGE
$0.24","MARKET
$0.10","FOIL
$0.37"
Weed Strangle,"AVERAGE
$0.24","MARKET
$0.10","FOIL
$0.31"
Wellgabber Apothecary,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.30"
Whirlpool Whelm,"AVERAGE
$0.22","MARKET
$0.06","FOIL
$0.37"
Wild Ricochet,"AVERAGE
$0.22","MARKET
$0.06","FOIL
$0.37"
Windbrisk Heights,"AVERAGE
$0.50","MARKET
$0.36","FOIL
$7.64"
Wings of Velis Vel,"AVERAGE
$1.42","MARKET
$1.57","FOIL
$0.44"
Wispmare,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.44"
Wizened Cenn,"AVERAGE
$0.35","MARKET
$0.28","FOIL
$5.49"
Woodland Changeling,"AVERAGE
$0.29","MARKET
$0.17","FOIL
$0.98"
Woodland Guidance,"AVERAGE
$1.05","MARKET
$1.16","FOIL
$9.01"
"Wort, Boggart Auntie","AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.65"
Wren's Run Packmaster,"AVERAGE
$5.40","MARKET
$9.08","FOIL
$4.27"
Wren's Run Vanquisher,"AVERAGE
$0.77","MARKET
$0.64","FOIL
$4.27"
"Wydwen, the Biting Gale","AVERAGE
$0.49","MARKET
$0.42","FOIL
$1.45"
Zephyr Net,"AVERAGE
$0.72","MARKET
$0.72","FOIL
$10.65"
