,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
16,Black Knight,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190540&type=card,Magic 2010 (Uncommon),"['Black', 'Black']",2,Creature — Human Knight (2/2),"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
17,Blinding Mage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190195&type=card,Magic 2010 (Common),"['1', 'White']",2,Creature — Human Wizard (1/2),", : Tap target creature."
18,Bog Wraith,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190165&type=card,Magic 2010 (Uncommon),"['3', 'Black']",4,Creature — Wraith (3/3),Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
19,Bogardan Hellkite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191340&type=card,Magic 2010 (Mythic Rare),"['6', 'Red', 'Red']",8,Creature — Dragon (5/5),"Flash
Flying
When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of targets."
20,Borderland Ranger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189905&type=card,Magic 2010 (Common),"['2', 'Green']",3,Creature — Human Scout (2/2),"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
21,Bountiful Harvest,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189913&type=card,Magic 2010 (Common),"['4', 'Green']",5,Sorcery,You gain 1 life for each land you control.
22,Bramble Creeper,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189915&type=card,Magic 2010 (Common),"['4', 'Green']",5,Creature — Elemental (0/3),"Whenever Bramble Creeper attacks, it gets +5/+0 until end of turn."
23,Burning Inquiry,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191096&type=card,Magic 2010 (Common),['Red'],1,Sorcery,"Each player draws three cards, then discards three cards at random."
24,Burst of Speed,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191061&type=card,Magic 2010 (Common),['Red'],1,Sorcery,Creatures you control gain haste until end of turn. (They can attack and even if they just came under your control.)
25,Cancel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189918&type=card,Magic 2010 (Common),"['1', 'Blue', 'Blue']",3,Instant,Counter target spell.
26,Canyon Minotaur,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191059&type=card,Magic 2010 (Common),"['3', 'Red']",4,Creature — Minotaur Warrior (3/3),
27,Capricious Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189914&type=card,Magic 2010 (Rare),"['4', 'Red', 'Red']",6,Creature — Efreet (6/4),"At the beginning of your upkeep, choose target nonland permanent you control and up to two target nonland permanents you don't control. Destroy one of them at random."
28,Captain of the Watch,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191070&type=card,Magic 2010 (Rare),"['4', 'White', 'White']",6,Creature — Human Soldier (3/3),"Vigilance (Attacking doesn't cause this creature to tap.)
Other Soldier creatures you control get +1/+1 and have vigilance.
When Captain of the Watch enters the battlefield, create three 1/1 white Soldier creature tokens."
29,Celestial Purge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191595&type=card,Magic 2010 (Uncommon),"['1', 'White']",2,Instant,Exile target black or red permanent.
30,Cemetery Reaper,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190193&type=card,Magic 2010 (Rare),"['1', 'Black', 'Black']",3,Creature — Zombie (2/2),"Other Zombie creatures you control get +1/+1.
, : Exile target creature card from a graveyard. Create a 2/2 black Zombie creature token."
31,Centaur Courser,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189883&type=card,Magic 2010 (Common),"['2', 'Green']",3,Creature — Centaur Warrior (3/3),
32,Chandra Nalaar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191242&type=card,Magic 2010 (Mythic Rare),"['3', 'Red', 'Red']",5,Legendary Planeswalker — Chandra (6),"+1: Chandra Nalaar deals 1 damage to target player or planeswalker.
−X: Chandra Nalaar deals X damage to target creature.
−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls."
33,Child of Night,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191068&type=card,Magic 2010 (Common),"['1', 'Black']",2,Creature — Vampire (2/1),Lifelink
34,Clone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191321&type=card,Magic 2010 (Rare),"['3', 'Blue']",4,Creature — Shapeshifter (0/0),You may have Clone enter the battlefield as a copy of any creature on the battlefield.
35,Coat of Arms,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191314&type=card,Magic 2010 (Rare),['5'],5,Artifact,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
36,Consume Spirit,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189893&type=card,Magic 2010 (Uncommon),"['Variable Colorless', '1', 'Black']",2,Sorcery,"Spend only black mana on X.
Consume Spirit deals X damage to any target and you gain X life."
37,Convincing Mirage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190161&type=card,Magic 2010 (Common),"['1', 'Blue']",2,Enchantment — Aura,"Enchant land
As Convincing Mirage enters the battlefield, choose a basic land type.
Enchanted land is the chosen type."
38,Coral Merfolk,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193749&type=card,Magic 2010 (Common),"['1', 'Blue']",2,Creature — Merfolk (2/1),
39,Craw Wurm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189903&type=card,Magic 2010 (Common),"['4', 'Green', 'Green']",6,Creature — Wurm (6/4),
40,Cudgel Troll,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189898&type=card,Magic 2010 (Uncommon),"['2', 'Green', 'Green']",4,Creature — Troll (4/3),": Regenerate Cudgel Troll. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
41,Darksteel Colossus,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191312&type=card,Magic 2010 (Mythic Rare),['11'],11,Artifact Creature — Golem (11/11),"Trample, indestructible
If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead."
42,Deadly Recluse,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189924&type=card,Magic 2010 (Common),"['1', 'Green']",2,Creature — Spider (1/2),"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)"
43,Deathmark,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190581&type=card,Magic 2010 (Uncommon),['Black'],1,Sorcery,Destroy target green or white creature.
44,Demon's Horn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191247&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a black spell, you may gain 1 life."
45,Diabolic Tutor,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190533&type=card,Magic 2010 (Uncommon),"['2', 'Black', 'Black']",4,Sorcery,"Search your library for a card, put that card into your hand, then shuffle."
46,Disentomb,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190559&type=card,Magic 2010 (Common),['Black'],1,Sorcery,Return target creature card from your graveyard to your hand.
47,Disorient,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190171&type=card,Magic 2010 (Common),"['3', 'Blue']",4,Instant,Target creature gets -7/-0 until end of turn.
48,Divination,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190172&type=card,Magic 2010 (Common),"['2', 'Blue']",3,Sorcery,Draw two cards.
49,Divine Verdict,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189912&type=card,Magic 2010 (Common),"['3', 'White']",4,Instant,Destroy target attacking or blocking creature.
50,Djinn of Wishes,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190198&type=card,Magic 2010 (Rare),"['3', 'Blue', 'Blue']",5,Creature — Djinn (4/4),"Flying
Djinn of Wishes enters the battlefield with three wish counters on it.
, Remove a wish counter from Djinn of Wishes: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it."
51,Doom Blade,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190535&type=card,Magic 2010 (Common),"['1', 'Black']",2,Instant,Destroy target nonblack creature.
52,Dragon Whelp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191060&type=card,Magic 2010 (Uncommon),"['2', 'Red', 'Red']",4,Creature — Dragon (2/3),"Flying
: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step."
53,Dragon's Claw,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191244&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a red spell, you may gain 1 life."
54,Dragonskull Summit,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191091&type=card,Magic 2010 (Rare),['2'],0,Land,"Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.
: Add or ."
55,Dread Warlock,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190575&type=card,Magic 2010 (Common),"['1', 'Black', 'Black']",3,Creature — Human Wizard Warlock (2/2),Dread Warlock can't be blocked except by black creatures.
56,Drowned Catacomb,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191067&type=card,Magic 2010 (Rare),"['1', 'Black', 'Black']",0,Land,"Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.
: Add or ."
57,Drudge Skeletons,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190552&type=card,Magic 2010 (Common),"['1', 'Black']",2,Creature — Skeleton (1/1),": Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
58,Duress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190580&type=card,Magic 2010 (Common),['Black'],1,Sorcery,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
59,Earthquake,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190551&type=card,Magic 2010 (Rare),"['Variable Colorless', 'Red']",1,Sorcery,Earthquake deals X damage to each creature without flying and each player.
60,Elite Vanguard,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189902&type=card,Magic 2010 (Uncommon),['White'],1,Creature — Human Soldier (2/1),
61,Elvish Archdruid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191392&type=card,Magic 2010 (Rare),"['1', 'Green', 'Green']",3,Creature — Elf Druid (2/2),"Other Elf creatures you control get +1/+1.
: Add for each Elf you control."
62,Elvish Piper,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191317&type=card,Magic 2010 (Rare),"['3', 'Green']",4,Creature — Elf Shaman (1/1),", : You may put a creature card from your hand onto the battlefield."
63,Elvish Visionary,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=194424&type=card,Magic 2010 (Common),"['1', 'Green']",2,Creature — Elf Shaman (1/1),"When Elvish Visionary enters the battlefield, draw a card."
64,Emerald Oryx,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189890&type=card,Magic 2010 (Common),"['3', 'Green']",4,Creature — Antelope (2/3),Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
65,Enormous Baloth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189882&type=card,Magic 2010 (Uncommon),"['6', 'Green']",7,Creature — Beast (7/7),
66,Entangling Vines,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189901&type=card,Magic 2010 (Common),"['3', 'Green']",4,Enchantment — Aura,"Enchant tapped creature
Enchanted creature doesn't untap during its controller's untap step."
67,Essence Scatter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193742&type=card,Magic 2010 (Common),"['1', 'Blue']",2,Instant,Counter target creature spell.
68,Excommunicate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190173&type=card,Magic 2010 (Common),"['2', 'White']",3,Sorcery,Put target creature on top of its owner's library.
69,Fabricate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189876&type=card,Magic 2010 (Uncommon),"['2', 'Blue']",3,Sorcery,"Search your library for an artifact card, reveal it, put it into your hand, then shuffle."
70,Fiery Hellhound,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191075&type=card,Magic 2010 (Common),"['1', 'Red', 'Red']",3,Creature — Elemental Dog (2/2),: Fiery Hellhound gets +1/+0 until end of turn.
71,Fireball,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191076&type=card,Magic 2010 (Uncommon),"['Variable Colorless', 'Red']",1,Sorcery,"This spell costs more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets."
72,Firebreathing,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191079&type=card,Magic 2010 (Common),['Red'],1,Enchantment — Aura,"Enchant creature
: Enchanted creature gets +1/+0 until end of turn."
73,Flashfreeze,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190168&type=card,Magic 2010 (Uncommon),"['1', 'Blue']",2,Instant,Counter target red or green spell.
74,Fog,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189919&type=card,Magic 2010 (Common),['Green'],1,Instant,Prevent all combat damage that would be dealt this turn.
75,Forest,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191407&type=card,Magic 2010 (Land),['Green'],0,Basic Land — Forest,
76,Gargoyle Castle,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193754&type=card,Magic 2010 (Rare),['Green'],0,Land,": Add .
, , Sacrifice Gargoyle Castle: Create a 3/4 colorless Gargoyle artifact creature token with flying."
77,Garruk Wildspeaker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191243&type=card,Magic 2010 (Mythic Rare),"['2', 'Green', 'Green']",4,Legendary Planeswalker — Garruk (3),"+1: Untap two target lands.
−1: Create a 3/3 green Beast creature token.
−4: Creatures you control get +3/+3 and gain trample until end of turn."
78,Giant Growth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189879&type=card,Magic 2010 (Common),['Green'],1,Instant,Target creature gets +3/+3 until end of turn.
79,Giant Spider,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189895&type=card,Magic 2010 (Common),"['3', 'Green']",4,Creature — Spider (2/4),Reach (This creature can block creatures with flying.)
80,Glacial Fortress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190562&type=card,Magic 2010 (Rare),"['3', 'Green']",0,Land,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
: Add or ."
81,Glorious Charge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190196&type=card,Magic 2010 (Common),"['1', 'White']",2,Instant,Creatures you control get +1/+1 until end of turn.
82,Goblin Artillery,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191092&type=card,Magic 2010 (Uncommon),"['1', 'Red', 'Red']",3,Creature — Goblin Warrior (1/3),: Goblin Artillery deals 2 damage to any target and 3 damage to you.
83,Goblin Chieftain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190558&type=card,Magic 2010 (Rare),"['1', 'Red', 'Red']",3,Creature — Goblin (2/2),"Haste (This creature can attack and as soon as it comes under your control.)
Other Goblin creatures you control get +1/+1 and have haste."
84,Goblin Piker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191074&type=card,Magic 2010 (Common),"['1', 'Red']",2,Creature — Goblin Warrior (2/1),
85,Gorgon Flail,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191597&type=card,Magic 2010 (Uncommon),['2'],2,Artifact — Equipment,"Equipped creature gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)
Equip (: Attach to target creature you control. Equip only as a sorcery.)"
86,Gravedigger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190570&type=card,Magic 2010 (Common),"['3', 'Black']",4,Creature — Zombie (2/2),"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand."
87,Great Sable Stag,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193759&type=card,Magic 2010 (Rare),"['1', 'Green', 'Green']",3,Creature — Elk (3/3),"This spell can't be countered.
Protection from blue and from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue or black.)"
88,Griffin Sentinel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190170&type=card,Magic 2010 (Common),"['2', 'White']",3,Creature — Griffin (1/3),"Flying
Vigilance (Attacking doesn't cause this creature to tap.)"
89,Guardian Seraph,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193766&type=card,Magic 2010 (Rare),"['2', 'White', 'White']",4,Creature — Angel (3/4),"Flying
If a source an opponent controls would deal damage to you, prevent 1 of that damage."
90,Harm's Way,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190166&type=card,Magic 2010 (Uncommon),['White'],1,Instant,The next 2 damage that a source of your choice would deal to you and/or permanents you control this turn is dealt to any target instead.
91,Haunting Echoes,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190577&type=card,Magic 2010 (Rare),"['3', 'Black', 'Black']",5,Sorcery,"Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles."
92,Hive Mind,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190556&type=card,Magic 2010 (Rare),"['5', 'Blue']",6,Enchantment,"Whenever a player casts an instant or sorcery spell, each other player copies that spell. Each of those players may choose new targets for their copy."
93,Holy Strength,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190538&type=card,Magic 2010 (Common),['White'],1,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+2."
94,Honor of the Pure,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191058&type=card,Magic 2010 (Rare),"['1', 'White']",2,Enchantment,White creatures you control get +1/+1.
95,Horned Turtle,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190178&type=card,Magic 2010 (Common),"['2', 'Blue']",3,Creature — Turtle (1/4),
96,Howl of the Night Pack,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189908&type=card,Magic 2010 (Uncommon),"['6', 'Green']",7,Sorcery,Create a 2/2 green Wolf creature token for each Forest you control.
97,Howling Banshee,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190548&type=card,Magic 2010 (Uncommon),"['2', 'Black', 'Black']",4,Creature — Spirit (3/3),"Flying
When Howling Banshee enters the battlefield, each player loses 3 life."
98,Howling Mine,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191315&type=card,Magic 2010 (Rare),['2'],2,Artifact,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
99,Hypnotic Specter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190566&type=card,Magic 2010 (Rare),"['1', 'Black', 'Black']",3,Creature — Specter (2/2),"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
100,Ice Cage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189920&type=card,Magic 2010 (Common),"['1', 'Blue']",2,Enchantment — Aura,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
When enchanted creature becomes the target of a spell or ability, destroy Ice Cage."
101,Ignite Disorder,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190544&type=card,Magic 2010 (Uncommon),"['1', 'Red']",2,Instant,"Ignite Disorder deals 3 damage divided as you choose among one, two, or three target white and/or blue creatures."
102,Illusionary Servant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189897&type=card,Magic 2010 (Common),"['1', 'Blue', 'Blue']",3,Creature — Illusion (3/4),"Flying
When Illusionary Servant becomes the target of a spell or ability, sacrifice it."
103,Indestructibility,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190568&type=card,Magic 2010 (Rare),"['3', 'White']",4,Enchantment — Aura,"Enchant permanent
Enchanted permanent has indestructible. (Effects that say ""destroy"" don't destroy that permanent. A creature with indestructible can't be destroyed by damage.)"
104,Inferno Elemental,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191090&type=card,Magic 2010 (Uncommon),"['4', 'Red', 'Red']",6,Creature — Elemental (4/4),"Whenever Inferno Elemental blocks or becomes blocked by a creature, Inferno Elemental deals 3 damage to that creature."
105,Island,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191387&type=card,Magic 2010 (Land),"['4', 'Red', 'Red']",0,Basic Land — Island,
106,Jace Beleren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191240&type=card,Magic 2010 (Mythic Rare),"['1', 'Blue', 'Blue']",3,Legendary Planeswalker — Jace (3),"+2: Each player draws a card.
−1: Target player draws a card.
−10: Target player mills twenty cards."
107,Jackal Familiar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191073&type=card,Magic 2010 (Common),['Red'],1,Creature — Jackal (2/2),Jackal Familiar can't attack or block alone.
108,Jump,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193743&type=card,Magic 2010 (Common),['Blue'],1,Instant,Target creature gains flying until end of turn.
109,Kalonian Behemoth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191394&type=card,Magic 2010 (Rare),"['5', 'Green', 'Green']",7,Creature — Beast (9/9),Shroud (This creature can't be the target of spells or abilities.)
110,Kelinore Bat,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190536&type=card,Magic 2010 (Common),"['2', 'Black']",3,Creature — Bat (2/1),Flying
111,Kindled Fury,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193741&type=card,Magic 2010 (Common),['Red'],1,Instant,Target creature gets +1/+0 and gains first strike until end of turn.
112,Kraken's Eye,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191246&type=card,Magic 2010 (Uncommon),['2'],2,Artifact,"Whenever a player casts a blue spell, you may gain 1 life."
113,Lava Axe,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191084&type=card,Magic 2010 (Common),"['4', 'Red']",5,Sorcery,Lava Axe deals 5 damage to target player or planeswalker.
114,Levitation,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190191&type=card,Magic 2010 (Uncommon),"['2', 'Blue', 'Blue']",4,Enchantment,Creatures you control have flying.
115,Lifelink,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190180&type=card,Magic 2010 (Common),['White'],1,Enchantment — Aura,"Enchant creature
Enchanted creature has lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)"
116,Lightning Bolt,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191089&type=card,Magic 2010 (Common),['Red'],1,Instant,Lightning Bolt deals 3 damage to any target.
117,Lightning Elemental,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191054&type=card,Magic 2010 (Common),"['3', 'Red']",4,Creature — Elemental (4/1),Haste (This creature can attack and as soon as it comes under your control.)
118,Lightwielder Paladin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193763&type=card,Magic 2010 (Rare),"['3', 'White', 'White']",5,Creature — Human Knight (4/4),"First strike (This creature deals combat damage before creatures without first strike.)
Whenever Lightwielder Paladin deals combat damage to a player, you may exile target black or red permanent that player controls."
119,Liliana Vess,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191241&type=card,Magic 2010 (Mythic Rare),"['3', 'Black', 'Black']",5,Legendary Planeswalker — Liliana (5),"+1: Target player discards a card.
−2: Search your library for a card, then shuffle and put that card on top.
−8: Put all creature cards from all graveyards onto the battlefield under your control."
