,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
1098,Angelic Arbiter,Magic 2011 ,Rare),7,['5'," 'White', 'White']",Creature , Angel , Angel (5,6),"Flying
Each opponent who cast a spell this turn can't attack with creatures.
Each opponent who attacked with a creature this turn can't cast spells.",1.92,2.02,3.84,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204975&type=card
1533,Angelic Benediction,Magic 2013 ,Uncommon),4,['3', 'White'],Enchantment,,,,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Whenever a creature you control attacks alone, you may tap target creature.",0.25,0.11,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279702&type=card
1366,Angelic Destiny,Magic 2012 ,Mythic Rare),4,['2'," 'White', 'White']",Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types.
When enchanted creature dies, return Angelic Destiny to its owner's hand.",0.20,0.05,0.27,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220230&type=card
58,Ant Queen,Magic 2010 ,Rare),5,['3'," 'Green', 'Green']",Creature , Insect , Insect (5,5),: Create a 1/1 green Insect creature token.,0.24,0.12,1.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191063&type=card
1367,Arachnus Spinner,Magic 2012 ,Rare),6,['5', 'Green'],Creature , Spider , Spider (5,7),"Reach
Tap an untapped Spider you control: Search your graveyard and/or library for a card named Arachnus Web and put it onto the battlefield attached to target creature. If you search your library this way, shuffle.",0.24,0.12,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220242&type=card
1368,Arachnus Web,Magic 2012 ,Common),3,['2', 'Green'],Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
At the beginning of the end step, if enchanted creature's power is 4 or greater, destroy Arachnus Web.",0.40,0.13,0.40,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220283&type=card
1369,Arbalest Elite,Magic 2012 ,Uncommon),4,['2'," 'White', 'White']",Creature , Human Archer , Human Archer (2,3),", : Arbalest Elite deals 3 damage to target attacking or blocking creature. Arbalest Elite doesn't untap during your next untap step.",0.25,0.14,0.36,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220078&type=card
1534,Arbor Elf,Magic 2013 ,Common),1,['Green'],,Creature , Elf Druid , Elf Druid (1,1),: Untap target Forest.,0.24,0.12,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249840&type=card
1099,Arc Runner,Magic 2011 ,Common),3,['2', 'Red'],Creature , Elemental Ox , Elemental Ox (5,1),"Haste (This creature can attack and as soon as it comes under your control.)
At the beginning of the end step, sacrifice Arc Runner.",0.25,0.10,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204991&type=card
1535,Archaeomancer,Magic 2013 ,Common),4,['2'," 'Blue', 'Blue']",Creature , Human Wizard , Human Wizard (1,2),"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",0.67,0.60,17.24,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265722&type=card
1370,Archon of Justice,Magic 2012 ,Rare),5,['3'," 'White', 'White']",Creature , Archon , Archon (4,4),"Flying
When Archon of Justice dies, exile target permanent.",0.54,0.58,1.66,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244828&type=card
1536,Arctic Aven,Magic 2013 ,Uncommon),3,['2', 'Blue'],Creature , Bird Wizard , Bird Wizard (2,1),"Flying
Arctic Aven gets +1/+1 as long as you control a Plains.
: Arctic Aven gains lifelink until end of turn. (Damage dealt by this creature also causes you to gain that much life.)",18.47,17.37,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249710&type=card
1100,Armored Cancrix,Magic 2011 ,Common),5,['4', 'Blue'],Creature , Crab , Crab (2,5),,0.26,0.19,0.78,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205083&type=card
1371,Armored Warhorse,Magic 2012 ,Common),2,['White', 'White'],Creature , Horse , Horse (2,3),,0.23,0.13,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=222634&type=card
1537,Arms Dealer,Magic 2013 ,Uncommon),3,['2', 'Red'],Creature , Goblin Rogue , Goblin Rogue (1,1),", Sacrifice a Goblin: Arms Dealer deals 4 damage to target creature.",0.28,0.18,0.70,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265719&type=card
1538,Attended Knight,Magic 2013 ,Common),3,['2', 'White'],Creature , Human Knight , Human Knight (2,2),"First strike
When Attended Knight enters the battlefield, create a 1/1 white Soldier creature token.",0.22,0.11,0.64,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265723&type=card
1539,Augur of Bolas,Magic 2013 ,Uncommon),2,['1', 'Blue'],Creature , Merfolk Wizard , Merfolk Wizard (1,3),"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",0.22,0.11,0.64,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249676&type=card
1105,Augury Owl,Magic 2011 ,Common),2,['1', 'Blue'],Creature , Bird , Bird (1,1),"Flying
When Augury Owl enters the battlefield, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",0.20,0.06,2.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208225&type=card
1372,Auramancer,Magic 2012 ,Common),3,['2', 'White'],Creature , Human Wizard , Human Wizard (2,2),"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",0.73,0.78,5.21,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=240308&type=card
1373,Aven Fleetwing,Magic 2012 ,Common),4,['3', 'Blue'],Creature , Bird Soldier , Bird Soldier (2,2),"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",0.50,0.45,10.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220145&type=card
1540,Aven Squire,Magic 2013 ,Common),2,['1', 'White'],Creature , Bird Soldier , Bird Soldier (1,1),"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",0.21,0.09,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265712&type=card
1110,Azure Drake,Magic 2011 ,Common),4,['3', 'Blue'],Creature , Drake , Drake (2,4),Flying,0.25,0.04,0.42,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204984&type=card
1374,Azure Mage,Magic 2012 ,Uncommon),2,['1', 'Blue'],Creature , Human Wizard , Human Wizard (2,1),: Draw a card.,0.22,0.10,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220268&type=card
1111,Back to Nature,Magic 2011 ,Uncommon),2,['1', 'Green'],Instant,,,,Destroy all enchantments.,0.31,0.25,0.73,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208284&type=card
71,Ball Lightning,Magic 2010 ,Rare),3,['Red'," 'Red', 'Red']",Creature , Elemental , Elemental (6,1),"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.",0.25,0.04,3.60,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191393&type=card
1112,Barony Vampire,Magic 2011 ,Common),3,['2', 'Black'],Creature , Vampire , Vampire (3,2),,2.67,2.29,3.77,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205001&type=card
1541,Battle of Wits,Magic 2013 ,Rare),5,['3'," 'Blue', 'Blue']",Enchantment,,,,"At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.",0.21,0.09,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=288878&type=card
1542,Battleflight Eagle,Magic 2013 ,Common),5,['4', 'White'],Creature , Bird , Bird (2,2),"Flying
When Battleflight Eagle enters the battlefield, target creature gets +2/+2 and gains flying until end of turn.",0.20,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259721&type=card
1375,Belltower Sphinx,Magic 2012 ,Uncommon),5,['4', 'Blue'],Creature , Sphinx , Sphinx (2,5),"Flying
Whenever a source deals damage to Belltower Sphinx, that source's controller mills that many cards.",0.24,0.11,0.58,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=236457&type=card
1376,Benalish Veteran,Magic 2012 ,Common),3,['2', 'White'],Creature , Human Soldier , Human Soldier (2,2),"Whenever Benalish Veteran attacks, it gets +1/+1 until end of turn.",0.25,0.10,0.46,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=228117&type=card
1543,Bladetusk Boar,Magic 2013 ,Common),4,['3', 'Red'],Creature , Boar , Boar (3,2),Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),0.19,0.02,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279707&type=card
1377,Blood Ogre,Magic 2012 ,Common),3,['2', 'Red'],Creature , Ogre Warrior , Ogre Warrior (2,2),"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)
First strike (This creature deals combat damage before creatures without first strike.)",12.00,11.75,18.89,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220227&type=card
1544,Blood Reckoning,Magic 2013 ,Uncommon),4,['3', 'Black'],Enchantment,,,,"Whenever a creature attacks you or a planeswalker you control, that creature's controller loses 1 life.",0.19,0.02,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279991&type=card
1378,Blood Seeker,Magic 2012 ,Common),2,['1', 'Black'],Creature , Vampire Shaman , Vampire Shaman (1,1),"Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.",0.19,0.02,0.54,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244252&type=card
1113,Blood Tithe,Magic 2011 ,Common),4,['3', 'Black'],Sorcery,,,,Each opponent loses 3 life. You gain life equal to the life lost this way.,0.19,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205054&type=card
1114,Bloodcrazed Goblin,Magic 2011 ,Common),1,['Red'],,Creature , Goblin Berserker , Goblin Berserker (2,2),Bloodcrazed Goblin can't attack unless an opponent has been dealt damage this turn.,0.20,0.08,0.32,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205007&type=card
1545,Bloodhunter Bat,Magic 2013 ,Common),4,['3', 'Black'],Creature , Bat , Bat (2,2),"Flying
When Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.",0.31,0.27,0.60,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259705&type=card
1379,Bloodlord of Vaasgoth,Magic 2012 ,Mythic Rare),5,['3'," 'Black', 'Black']",Creature , Vampire Warrior , Vampire Warrior (3,3),"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Flying
Whenever you cast a Vampire creature spell, it gains bloodthirst 3.",0.25,0.19,0.54,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220306&type=card
1380,Bloodrage Vampire,Magic 2012 ,Common),3,['2', 'Black'],Creature , Vampire , Vampire (3,1),"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)",1.40,1.39,2.22,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220125&type=card
1119,Bog Raiders,Magic 2011 ,Common),3,['2', 'Black'],Creature , Zombie , Zombie (2,2),Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),0.19,0.08,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207105&type=card
97,Bog Wraith,Magic 2010 ,Uncommon),4,['3', 'Black'],Creature , Wraith , Wraith (3,3),Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),0.19,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190165&type=card
98,Bogardan Hellkite,Magic 2010 ,Mythic Rare),8,['6'," 'Red', 'Red']",Creature , Dragon , Dragon (5,5),"Flash
Flying
When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of targets.",0.24,0.06,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191340&type=card
1546,Bond Beetle,Magic 2013 ,Common),1,['Green'],,Creature , Insect , Insect (0,1),"When Bond Beetle enters the battlefield, put a +1/+1 counter on target creature.",0.20,0.10,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249696&type=card
1381,Bonebreaker Giant,Magic 2012 ,Common),5,['4', 'Red'],Creature , Giant , Giant (4,4),,0.20,0.07,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226582&type=card
99,Borderland Ranger,Magic 2010 ,Common),3,['2', 'Green'],Creature , Human Scout , Human Scout (2,2),"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",0.84,0.69,3.06,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189905&type=card
1547,Boundless Realms,Magic 2013 ,Rare),7,['6', 'Green'],Sorcery,,,,"Search your library for up to X basic land cards, where X is the number of lands you control, put them onto the battlefield tapped, then shuffle.",0.24,0.17,0.83,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249667&type=card
109,Bramble Creeper,Magic 2010 ,Common),5,['4', 'Green'],Creature , Elemental , Elemental (0,3),"Whenever Bramble Creeper attacks, it gets +5/+0 until end of turn.",0.19,0.04,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189915&type=card
1382,Brink of Disaster,Magic 2012 ,Common),4,['2'," 'Black', 'Black']",Enchantment , Aura, Aura,,"Enchant creature or land
When enchanted permanent becomes tapped, destroy it.",0.19,0.14,0.27,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244246&type=card
1124,Brittle Effigy,Magic 2011 ,Rare),1,['1'],,Artifact,,,,", , Exile Brittle Effigy: Exile target creature.",0.48,0.30,1.13,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205002&type=card
1383,Buried Ruin,Magic 2012 ,Uncommon),0,['2'," 'Black', 'Black']",Land,,,,": Add .
, , Sacrifice Buried Ruin: Return target artifact card from your graveyard to your hand.",0.19,0.14,0.27,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220302&type=card
110,Burning Inquiry,Magic 2010 ,Common),1,['Red'],,Sorcery,,,,"Each player draws three cards, then discards three cards at random.",0.20,0.05,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191096&type=card
111,Burst of Speed,Magic 2010 ,Common),1,['Red'],,Sorcery,,,,Creatures you control gain haste until end of turn. (They can attack and even if they just came under your control.),3.88,3.18,0.49,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191061&type=card
1125,Call to Mind,Magic 2011 ,Uncommon),3,['2', 'Blue'],Sorcery,,,,Return target instant or sorcery card from your graveyard to your hand.,0.48,0.30,1.13,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208218&type=card
1384,Call to the Grave,Magic 2012 ,Rare),5,['4', 'Black'],Enchantment,,,,"At the beginning of each player's upkeep, that player sacrifices a non-Zombie creature.
At the beginning of the end step, if no creatures are on the battlefield, sacrifice Call to the Grave.",1.03,0.93,14.13,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=236460&type=card
130,Capricious Efreet,Magic 2010 ,Rare),6,['4'," 'Red', 'Red']",Creature , Efreet , Efreet (6,4),"At the beginning of your upkeep, choose target nonland permanent you control and up to two target nonland permanents you don't control. Destroy one of them at random.",0.19,0.06,0.78,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189914&type=card
1548,Captain's Call,Magic 2013 ,Common),4,['3', 'White'],Sorcery,,,,Create three 1/1 white Soldier creature tokens.,0.20,0.06,0.42,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249689&type=card
1126,Captivating Vampire,Magic 2011 ,Rare),3,['1'," 'Black', 'Black']",Creature , Vampire , Vampire (2,2),"Other Vampire creatures you control get +1/+1.
Tap five untapped Vampires you control: Gain control of target creature. It becomes a Vampire in addition to its other types.",0.19,0.06,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205041&type=card
1385,Carnage Wurm,Magic 2012 ,Uncommon),7,['6', 'Green'],Creature , Wurm , Wurm (6,6),"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",0.20,0.04,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220220&type=card
1549,Cathedral of War,Magic 2013 ,Rare),0,['3', 'White'],Land,,,,"Cathedral of War enters the battlefield tapped.
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
: Add .",0.20,0.06,0.42,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259680&type=card
1550,Chandra's Fury,Magic 2013 ,Common),5,['4', 'Red'],Instant,,,,Chandra's Fury deals 4 damage to target player or planeswalker and 1 damage to each creature that player or that planeswalker's controller controls.,2.00,0.07,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249682&type=card
1390,Chandra's Phoenix,Magic 2012 ,Rare),3,['1'," 'Red', 'Red']",Creature , Phoenix , Phoenix (2,2),"Flying
Haste (This creature can attack and as soon as it comes under your control.)
Whenever an opponent is dealt damage by a red instant or sorcery spell you control or by a red planeswalker you control, return Chandra's Phoenix from your graveyard to your hand.",0.18,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220298&type=card
1131,Chandra's Spitfire,Magic 2011 ,Uncommon),3,['2', 'Red'],Creature , Elemental , Elemental (1,3),"Flying
Whenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn.",0.18,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205026&type=card
1391,Chasm Drake,Magic 2012 ,Common),5,['4', 'Blue'],Creature , Drake , Drake (3,3),"Flying
Whenever Chasm Drake attacks, target creature you control gains flying until end of turn.",0.44,0.20,0.71,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220225&type=card
1551,Chronomaton,Magic 2013 ,Uncommon),1,['1'],,Artifact Creature , Golem , Golem (1,1),", : Put a +1/+1 counter on Chronomaton.",0.18,0.07,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259698&type=card
1392,Circle of Flame,Magic 2012 ,Uncommon),2,['1', 'Red'],Enchantment,,,,"Whenever a creature without flying attacks you or a planeswalker you control, Circle of Flame deals 1 damage to that creature.",0.25,0.14,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220273&type=card
1552,Cleaver Riot,Magic 2013 ,Uncommon),5,['4', 'Red'],Sorcery,,,,Creatures you control gain double strike until end of turn. (They deal both first-strike and regular combat damage.),0.24,0.09,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=276207&type=card
1553,Clock of Omens,Magic 2013 ,Uncommon),4,['4'],,Artifact,,,,Tap two untapped artifacts you control: Untap target artifact.,0.24,0.09,5.97,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=288877&type=card
1132,Cloud Crusader,Magic 2011 ,Common),4,['2'," 'White', 'White']",Creature , Human Knight , Human Knight (2,3),"Flying
First strike (This creature deals combat damage before creatures without first strike.)",0.49,0.42,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208287&type=card
1133,Cloud Elemental,Magic 2011 ,Common),3,['2', 'Blue'],Creature , Elemental , Elemental (2,3),"Flying
Cloud Elemental can block only creatures with flying.",0.19,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208224&type=card
174,Coat of Arms,Magic 2010 ,Rare),5,['5'],,Artifact,,,,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)",19.74,13.89,54.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191314&type=card
1138,Condemn,Magic 2011 ,Uncommon),1,['White'],,Instant,,,,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,0.30,0.19,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205098&type=card
1139,Conundrum Sphinx,Magic 2011 ,Rare),4,['2'," 'Blue', 'Blue']",Creature , Sphinx , Sphinx (4,4),"Flying
Whenever Conundrum Sphinx attacks, each player chooses a card name. Then each player reveals the top card of their library. If the card a player revealed has the name they chose, that player puts it into their hand. If it doesn't, that player puts it on the bottom of their library.",0.36,0.19,0.58,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204982&type=card
179,Convincing Mirage,Magic 2010 ,Common),2,['1', 'Blue'],Enchantment , Aura, Aura,,"Enchant land
As Convincing Mirage enters the battlefield, choose a basic land type.
Enchanted land is the chosen type.",0.25,0.15,0.47,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190161&type=card
1140,Corrupt,Magic 2011 ,Uncommon),6,['5', 'Black'],Sorcery,,,,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.,0.36,0.37,3.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207106&type=card
1554,Courtly Provocateur,Magic 2013 ,Uncommon),3,['2', 'Blue'],Creature , Human Wizard , Human Wizard (1,1),": Target creature attacks this turn if able.
: Target creature blocks this turn if able.",0.24,0.10,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=276475&type=card
1555,Cower in Fear,Magic 2013 ,Uncommon),3,['1'," 'Black', 'Black']",Instant,,,,Creatures your opponents control get -1/-1 until end of turn.,0.24,0.04,0.32,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=280232&type=card
1556,Craterize,Magic 2013 ,Common),4,['3', 'Red'],Sorcery,,,,Destroy target land.,0.20,0.08,0.27,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253699&type=card
184,Craw Wurm,Magic 2010 ,Common),6,['4'," 'Green', 'Green']",Creature , Wurm , Wurm (6,4),,0.35,0.28,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189903&type=card
1393,Crimson Mage,Magic 2012 ,Uncommon),2,['1', 'Red'],Creature , Human Shaman , Human Shaman (2,1),: Target creature you control gains haste until end of turn. (It can attack and this turn.),0.35,0.28,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220069&type=card
1557,Crimson Muckwader,Magic 2013 ,Uncommon),2,['1', 'Red'],Creature , Lizard , Lizard (2,1),"Crimson Muckwader gets +1/+1 as long as you control a Swamp.
: Regenerate Crimson Muckwader. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",0.24,0.05,0.38,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253739&type=card
1558,Crippling Blight,Magic 2013 ,Common),1,['Black'],,Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature gets -1/-1 and can't block.",0.19,0.03,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253716&type=card
1394,Crown of Empires,Magic 2012 ,Uncommon),2,['2'],,Artifact,,,,", : Tap target creature. Gain control of that creature instead if you control artifacts named Scepter of Empires and Throne of Empires.",0.25,0.17,0.70,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220297&type=card
1395,Crumbling Colossus,Magic 2012 ,Uncommon),5,['5'],,Artifact Creature , Golem , Golem (7,4),"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
When Crumbling Colossus attacks, sacrifice it at end of combat.",0.25,0.17,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220113&type=card
