,Unnamed: 0_x,card name,mana cost,converted mana cost,type,abilities-1,abilities-2,flavour text-1,flavour text-2,power/toughness,rarity,expansion,card no,artist,img url,Unnamed: 0_y,avg price ($),market price ($),foil avg ($),foil price ($)
48,48,Devoted Paladin,"['4', 'White']",5,Creature — Orc Knight,"Beacon of Hope — When Devoted Paladin enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.", ,"""I swore a sacred oath to protect the weak and punish those who threaten them. As long as I draw breath, I will protect you.""", ,4 / 4,"Rarity:
Common",Adventures in the Forgotten Realms,11,Chris Rallis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527298&type=card,2089.0,0.20,0.02,0.25,0.1
49,49,Devour Intellect,['Black'],1,Sorcery,"Target opponent discards a card. If mana from a Treasure was spent to cast this spell, instead that player reveals their hand, you choose a nonland card from it, then that player discards that card.", ,"""I'll know what you know soon enough.""", , ,"Rarity:
Common",Adventures in the Forgotten Realms,97,Steven Russell Black,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527384&type=card,2090.0,0.20,0.05,0.25,0.1
50,50,Dire Wolf Prowler,"['2', 'Green']",3,Creature — Wolf,: Dire Wolf Prowler gets +2/+2 and gains haste until end of turn. Activate only once each turn., ,"Large as horses, dire wolves must hunt often to satisfy their ravenous hunger. A mere human does little more than blunt their appetite.", ,2 / 2,"Rarity:
Common",Adventures in the Forgotten Realms,179,Alessandra Pisano,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527466&type=card,2091.0,0.20,0.03,0.3,0.13
51,51,Displacer Beast,"['2', 'Blue']",3,Creature — Cat Beast,"When Displacer Beast enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)", ,The only place you can be sure it's not is wherever it appears to be., ,3 / 2,"Rarity:
Uncommon",Adventures in the Forgotten Realms,54,Bryan Sola,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527341&type=card,2092.0,0.25,0.06,0.39,0.19
52,52,Divine Smite,"['1', 'White']",2,Instant,"Target creature or planeswalker an opponent controls phases out. If that permanent is black, exile it instead. (If it phases out, treat it and anything attached to it as though they don't exist until its controller's next turn.)", ,"""When darkness closes in around us, my blade will light our path.""", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,12,Bryan Sola,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527299&type=card,2093.0,0.25,0.09,0.45,0.23
53,53,Djinni Windseer,"['3', 'Blue']",4,Creature — Djinn,Flying, , , ,3 / 3,"Rarity:
Common",Adventures in the Forgotten Realms,55,Livia Prima,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527342&type=card,2094.0,0.20,0.02,0.29,0.09
54,54,Dragon Turtle,"['1', 'Blue', 'Blue']",3,Creature — Dragon Turtle,Flash, , , ,3 / 5,"Rarity:
Rare",Adventures in the Forgotten Realms,56,Dan Scott,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527343&type=card,2102.0,0.50,0.29,0.5,0.34
55,55,Dragon's Disciple,"['1', 'White']",2,Creature — Human Monk,"As Dragon's Disciple enters the battlefield, you may reveal a Dragon card from your hand. If you do or if you control a Dragon, Dragon's Disciple enters the battlefield with a +1/+1 counter on it.", , , ,1 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,13,Lucas Graciano,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527300&type=card,2103.0,0.25,0.09,0.37,0.24
56,56,Dragon's Fire,"['1', 'Red']",2,Instant,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand or choose a Dragon you control.", , , , ,"Rarity:
Common",Adventures in the Forgotten Realms,139,Campbell White,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527426&type=card,2104.0,0.25,0.19,0.35,0.24
57,57,Drider,"['4', 'Black']",5,Creature — Elf Spider,Reach, ,"Though their forms embody Lolth's image, driders are those unfortunate drow who have failed the Spider Queen.", ,4 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,98,Jodie Muir,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527385&type=card,2105.0,0.25,0.05,0.31,0.21
58,58,Drizzt Do'Urden,"['3', 'Green', 'White']",5,Legendary Creature — Elf Ranger,Double strike, , , ,3 / 3,"Rarity:
Rare",Adventures in the Forgotten Realms,220,Tyler Jacobson,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527507&type=card,2106.0,1.65,1.17,2.92,2.58
59,59,Druid Class,"['1', 'Green']",2,Enchantment — Class,(Gain the next level as a sorcery to add its ability.), , , , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,180,Svetlin Velinov,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527467&type=card,2107.0,0.50,0.43,1.0,0.9
60,60,Dueling Rapier,['Red'],1,Artifact — Equipment,Flash, , , , ,"Rarity:
Common",Adventures in the Forgotten Realms,140,Anna Podedworna,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527427&type=card,2108.0,0.18,0.07,0.25,0.1
61,61,Dungeon Crawler,['Black'],1,Creature — Zombie,Dungeon Crawler enters the battlefield tapped., ,"""I think of it as giving them another chance to achieve their potential.""", ,2 / 1,"Rarity:
Uncommon",Adventures in the Forgotten Realms,99,Svetlin Velinov,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527386&type=card,2109.0,0.25,0.1,0.35,0.15
62,62,Dungeon Descent,[],1,Land,Dungeon Descent enters the battlefield tapped., , , , ,"Rarity:
Rare",Adventures in the Forgotten Realms,255,Kasia ‘Kafis' Zielińska,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527542&type=card,2110.0,0.40,0.21,0.52,0.25
63,63,Dungeon Map,['3'],3,Artifact,: Add ., ,"""Wait, is that a secret door? I can't tell for sure . . . there's some blood in the way.""", , ,"Rarity:
Uncommon",Adventures in the Forgotten Realms,242,Aaron Miller,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527529&type=card,2111.0,0.24,0.1,0.37,0.22
64,64,Dungeon of the Mad Mage,[],3,Dungeon,Yawning Portal — You gain 1 life. (Leads to: Dungeon Level), , , , ,"Rarity:
Common",Adventures in the Forgotten Realms,620,(none),https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=530447&type=card,2112.0,0.21,0.11,0.35,0.16
65,65,Dwarfhold Champion,"['1', 'White']",2,Creature — Dwarf Warrior,"As long as Dwarfhold Champion is equipped, it gets +0/+2.", ,"Courage is neither a shield nor an axe, but the will to wield both in defense of the innocent.", ,3 / 1,"Rarity:
Common",Adventures in the Forgotten Realms,14,Miguel Mercado,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527301&type=card,2114.0,0.19,0.02,0.25,0.1
66,66,Earth-Cult Elemental,"['4', 'Red', 'Red']",6,Creature — Elemental,"Siege Monster — When Earth-Cult Elemental enters the battlefield, roll a d20.", , , ,6 / 6,"Rarity:
Common",Adventures in the Forgotten Realms,141,Aaron Miller,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527428&type=card,2115.0,0.17,0.02,0.25,0.09
67,67,"Ebondeath, Dracolich","['2', 'Black', 'Black']",4,Legendary Creature — Zombie Dragon,Flash, , , ,5 / 2,"Rarity:
Mythic Rare",Adventures in the Forgotten Realms,100,Lars Grant-West,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527387&type=card,2116.0,8.07,7.94,9.1,8.19
68,68,Eccentric Apprentice,"['2', 'Blue']",3,Creature — Tiefling Wizard,Flying, , , ,2 / 2,"Rarity:
Uncommon",Adventures in the Forgotten Realms,57,Campbell White,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527344&type=card,2117.0,0.25,0.1,0.35,0.21
69,69,Ellywick Tumblestrum,"['2', 'Green', 'Green']",4,Legendary Planeswalker — Ellywick,+1: Venture into the dungeon. (Enter the first room or advance to the next room.), , , ,4,"Rarity:
Mythic Rare",Adventures in the Forgotten Realms,181,Anna Steinbauer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527468&type=card,2118.0,2.96,2.75,3.27,2.98
70,70,Elturgard Ranger,"['4', 'Green']",5,Creature — Human Elf Ranger,Reach, ,"Since the fall of Elturel, they've walked the Sword Coast from Tethyr to Icewind Dale, eyes always on their prey.", ,4 / 1,"Rarity:
Common",Adventures in the Forgotten Realms,182,Francisco Miyara,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527469&type=card,2119.0,0.18,0.02,0.25,0.07
71,71,Evolving Wilds,[],5,Land,", Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.", ,Parts of Faerûn still churn with the magic of arrogant Netherese archmages long dead., , ,"Rarity:
Common",Adventures in the Forgotten Realms,256,Muhammad Firdaus,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527543&type=card,2124.0,0.23,0.1,0.28,0.16
72,72,Eye of Vecna,['2'],2,Legendary Artifact,"When Eye of Vecna enters the battlefield, you draw a card and you lose 2 life.", ,"""I see all things as they truly are! I see . . . decay in all flesh, and betrayal in every heart.""", , ,"Rarity:
Rare",Adventures in the Forgotten Realms,243,Irina Nordsol,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527530&type=card,2125.0,0.99,0.58,1.3,0.79
73,73,Eyes of the Beholder,"['4', 'Black', 'Black']",6,Instant,Target creature gets -11/-11 until end of turn., ,"In the end, there was nothing beautiful to be seen.", , ,"Rarity:
Common",Adventures in the Forgotten Realms,101,Kari Christensen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527388&type=card,2126.0,0.25,0.06,0.28,0.19
74,74,"Farideh, Devil's Chosen","['2', 'Blue', 'Red']",4,Legendary Creature — Tiefling Warlock,"Dark One's Own Luck — Whenever you roll one or more dice, Farideh, Devil's Chosen gains flying and menace until end of turn. If any of those results was 10 or higher, draw a card.", ,"""A pact is a tool, not a damnation.""", ,3 / 3,"Rarity:
Uncommon",Adventures in the Forgotten Realms,221,Magali Villeneuve,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=527508&type=card,2129.0,0.25,0.1,0.35,0.16
