,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
22402,Absorb,Invasion ,Rare,3,['White'," 'Blue', 'Blue']",Instant,,,,Counter target spell. You gain 3 life.,0.23,0.05,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=23155&type=card
24090,Absorb Identity,Kaldheim ,Uncommon,2,['1', 'Blue'],Instant,,,,Return target creature to its owner's hand. You may have Shapeshifters you control become copies of that creature until end of turn.,0.37,0.11,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=506925&type=card
16239,Abuna's Chant,Fifth Dawn ,Common,4,['3', 'White'],Instant,,,,"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine (Choose both if you pay the entwine cost.)",0.40,0.28,1.50,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=50164&type=card
14982,Abundant Maw,Eldritch Moon ,Uncommon,8,['8'],,Creature , Eldrazi Leech , Eldrazi Leech (6,4),"Emerge (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",0.25,0.08,0.49,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414290&type=card
3511,Abyssal Hunter,Classic Sixth Edition ,Rare,4,['3', 'Black'],Creature , Human Assassin , Human Assassin (1,1),", : Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",0.47,0.32,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=15383&type=card
18967,Abyssal Nocturnus,Guildpact ,Rare,3,['1'," 'Black', 'Black']",Creature , Horror , Horror (2,2),"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",0.20,0.06,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96858&type=card
16011,Abzan Advantage,Fate Reforged ,Common,2,['1', 'White'],Instant,,,,Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),5.00,4.47,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391781&type=card
24496,Abzan Banner,Khans of Tarkir ,Common,3,['3'],,Artifact,,,,": Add , , or .
, , Sacrifice Abzan Banner: Draw a card.",0.20,0.10,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386465&type=card
16012,Abzan Beastmaster,Fate Reforged ,Uncommon,3,['2', 'Green'],Creature , Dog Shaman , Dog Shaman (2,1),"At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.",0.20,0.06,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391782&type=card
24497,Abzan Guide,Khans of Tarkir ,Common,6,['3'," 'White', 'Black', 'Green']",Creature , Human Warrior , Human Warrior (4,4),"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph (You may cast this card face down as a 2/2 creature for . Turn it face up any time for its morph cost.)",0.20,0.05,0.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386469&type=card
16013,Abzan Kin-Guard,Fate Reforged ,Uncommon,4,['3', 'Green'],Creature , Human Warrior , Human Warrior (3,3),Abzan Kin-Guard has lifelink as long as you control a white or black permanent.,0.25,0.04,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391783&type=card
16014,Abzan Runemark,Fate Reforged ,Common,3,['2', 'White'],Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent.",0.25,0.04,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391784&type=card
16015,Abzan Skycaptain,Fate Reforged ,Common,4,['3', 'White'],Creature , Bird Soldier , Bird Soldier (2,2),"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",0.20,0.07,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=391785&type=card
11201,Academy Drake,Dominaria ,Common,3,['2', 'Blue'],Creature , Drake , Drake (2,2),"Kicker (You may pay an additional as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.",0.20,0.02,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442928&type=card
5596,Academy Elite,Commander 2016 ,Rare,4,['3', 'Blue'],Creature , Human Wizard , Human Wizard (0,0),"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.",0.35,0.17,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=420698&type=card
11202,Academy Journeymage,Dominaria ,Common,5,['4', 'Blue'],Creature , Human Wizard , Human Wizard (3,2),"This spell costs less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.",0.20,0.03,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442929&type=card
11469,Academy Ruins,Double Masters ,Rare,0,['1', 'Red'],Legendary Land,,,,": Add .
, : Put target artifact card from your graveyard on top of your library.",10.99,8.89,47.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489982&type=card
13039,Accumulated Knowledge,Duel Decks: Elspeth vs. Kiora ,Common,2,['1', 'Blue'],Instant,,,,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",0.19,0.02,0.38,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394351&type=card
24706,Acid Rain,Legends ,Rare,4,['3', 'Blue'],Sorcery,,,,Destroy all Forests.,339.97,149.42,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1470&type=card
11949,Acid-Spewer Dragon,Dragons of Tarkir ,Uncommon,6,['5', 'Black'],Creature , Dragon , Dragon (3,3),"Flying, deathtouch
Megamorph (You may cast this card face down as a 2/2 creature for . Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",0.26,0.19,0.55,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394485&type=card
2899,Acolyte's Reward,Born of the Gods ,Uncommon,2,['1', 'White'],Instant,,,,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each in the mana costs of permanents you control counts toward your devotion to white.)",0.42,0.26,2.24,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=378373&type=card
16240,Acquire,Fifth Dawn ,Rare,5,['3'," 'Blue', 'Blue']",Sorcery,,,,Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.,0.20,3.45,12.65,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=51088&type=card
23843,Acrobatic Maneuver,Kaladesh ,Common,3,['2', 'White'],Instant,,,,"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card.",0.23,0.08,0.52,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417574&type=card
5091,Act of Aggression,Commander 2015 ,Uncommon,5,['3'," 'Phyrexian Red', 'Phyrexian Red']",Instant,,,,"( can be paid with either or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.",0.28,0.20,1.18,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=405118&type=card
3940,Act of Authority,Commander 2013 Edition ,Rare,3,['1'," 'White', 'White']",Enchantment,,,,"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.",0.28,0.20,1.18,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=376238&type=card
19502,Act of Heroism,Hour of Devastation ,Common,2,['1', 'White'],Instant,,,,Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.,0.25,0.09,0.42,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430690&type=card
11471,Ad Nauseam,Double Masters ,Rare,5,['3'," 'Black', 'Black']",Instant,,,,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.,10.99,9.02,59.60,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489749&type=card
11203,Adamant Will,Dominaria ,Common,2,['1', 'White'],Instant,,,,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",0.20,0.11,0.45,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442890&type=card
22754,Adanto Vanguard,Ixalan ,Uncommon,2,['1', 'White'],Creature , Vampire Soldier , Vampire Soldier (1,1),"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",0.24,0.10,1.10,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435152&type=card
22755,"Adanto, the First Fort",Ixalan ,Rare,0,['1', 'White'],Legendary Land,,,,"(Transforms from Legion's Landing.)
: Add .
, : Create a 1/1 white Vampire creature token with lifelink.",25.48,18.55,80.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435174&type=card
21786,Adaptive Shimmerer,Ikoria: Lair of Behemoths ,Common,5,['5'],,Creature , Insect , Insect (0,0),"Flash
Adaptive Shimmerer enters the battlefield with three +1/+1 counters on it.",0.16,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479521&type=card
18204,Adaptive Snapjaw,Gatecrash ,Common,5,['4', 'Green'],Creature , Lizard Beast , Lizard Beast (6,2),"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",0.19,0.03,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366290&type=card
20359,Adarkar Sentinel,Ice Age ,Uncommon,5,['5'],,Artifact Creature , Soldier , Soldier (3,3),: Adarkar Sentinel gets +0/+1 until end of turn.,0.24,0.12,0.73,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2392&type=card
20360,Adarkar Unicorn,Ice Age ,Common,3,['1'," 'White', 'White']",Creature , Unicorn , Unicorn (2,2),: Add or . Spend this mana only to pay cumulative upkeep costs.,0.28,0.19,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2661&type=card
3785,Adarkar Windform,Coldsnap ,Uncommon,5,['4', 'Blue'],Snow Creature , Illusion , Illusion (3,3),"Flying
: Target creature loses flying until end of turn. ( can be paid with one mana from a snow source.)",0.25,0.23,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=121268&type=card
25700,Adder-Staff Boggart,Lorwyn ,Common,2,['1', 'Red'],Creature , Goblin Warrior , Goblin Warrior (2,1),"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145992&type=card
22403,Addle,Invasion ,Uncommon,2,['1', 'Black'],Sorcery,,,,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,0.23,0.05,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=23030&type=card
11204,"Adeliz, the Cinder Wind",Dominaria ,Uncommon,3,['1'," 'Blue', 'Red']",Legendary Creature , Human Wizard , Human Wizard (2,2),"Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.",0.33,0.23,1.16,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=443078&type=card
10371,Adherent of Hope,Core Set 2021 ,Common,2,['1', 'White'],Creature , Human Soldier , Human Soldier (2,1),"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.",0.19,0.05,0.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488627&type=card
22756,Admiral Beckett Brass,Ixalan ,Mythic,4,['1'," 'Blue', 'Black', 'Red']",Legendary Creature , Human Pirate , Human Pirate (3,3),"Other Pirates you control get +1/+1.
At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.",4.10,4.08,21.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435373&type=card
19503,Adorned Pouncer,Hour of Devastation ,Rare,2,['1', 'White'],Creature , Cat , Cat (1,1),"Double strike
Eternalize (, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)",0.19,0.02,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430691&type=card
7339,"Adrix and Nev, Twincasters",Commander 2021 ,Mythic,4,['2'," 'Green', 'Blue']",Legendary Creature , Merfolk Wizard , Merfolk Wizard (2,2),"Ward (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays .)
If one or more tokens would be created under your control, twice that many of those tokens are created instead.",15.44,13.22,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=518315&type=card
24708,Adun Oakenshield,Legends ,Rare,3,['Black'," 'Red', 'Green']",Legendary Creature , Human Knight , Human Knight (1,2),", : Return target creature card from your graveyard to your hand.",329.95,185.06,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1642&type=card
2097,Advance Scout,Battle Royale Box Set ,Common,2,['1', 'White'],Creature , Human Soldier Scout , Human Soldier Scout (1,1),"First strike
: Target creature gains first strike until end of turn.",0.24,0.12,0.75,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21186&type=card
16241,Advanced Hoverguard,Fifth Dawn ,Common,4,['3', 'Blue'],Creature , Drone , Drone (2,2),"Flying
: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)",0.20,0.07,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=50144&type=card
24709,Adventurers' Guildhouse,Legends ,Uncommon,0,['Black'," 'Red', 'Green']",Land,,,,"Green legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",24.98,14.14,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1698&type=card
1660,Adverse Conditions,Battle for Zendikar ,Uncommon,4,['3', 'Blue'],Instant,,,,"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add .""",,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=401803&type=card
24091,"Aegar, the Freezing Flame",Kaldheim ,Uncommon,3,['1'," 'Blue', 'Red']",Legendary Creature , Giant Wizard , Giant Wizard (3,3),"Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.",0.25,0.08,0.37,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=503816&type=card
1337,Aegis Angel,Archenemy: Nicol Bolas ,Rare,6,['4'," 'White', 'White']",Creature , Angel , Angel (5,5),"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)",0.44,0.28,1.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430540&type=card
0,Aegis Automaton,Aether Revolt ,Common,2,['2'],,Artifact Creature , Construct , Construct (0,3),: Return another target creature you control to its owner's hand.,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423808&type=card
23079,Aegis of the Gods,Journey into Nyx ,Rare,2,['1', 'White'],Enchantment Creature , Human Soldier , Human Soldier (2,1),You have hexproof. (You can't be the target of spells or abilities your opponents control.),1.90,2.15,3.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=380364&type=card
20362,Aegis of the Meek,Ice Age ,Rare,3,['3'],,Artifact,,,,", : Target 1/1 creature gets +1/+2 until end of turn.",2.86,2.87,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2393&type=card
15822,Aeolipile,Fallen Empires ,Rare,2,['2'],,Artifact,,,,", , Sacrifice Aeolipile: It deals 2 damage to any target.",0.36,0.28,1.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1827&type=card
6977,Aeon Engine,Commander 2019 ,Rare,5,['5'],,Artifact,,,,"Aeon Engine enters the battlefield tapped.
, Exile Aeon Engine: Reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)",0.25,0.10,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=470598&type=card
9254,Aerial Engineer,Core Set 2019 ,Uncommon,4,['2'," 'White', 'Blue']",Creature , Human Artificer , Human Artificer (2,4),"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",0.25,0.13,0.46,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447347&type=card
23080,Aerial Formation,Journey into Nyx ,Common,1,['Blue'],,Instant,,,,"Strive — This spell costs more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.",0.19,0.02,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=380365&type=card
19504,Aerial Guide,Hour of Devastation ,Common,3,['2', 'Blue'],Creature , Drake , Drake (2,2),"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.",0.66,0.70,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430718&type=card
18205,Aerial Maneuver,Gatecrash ,Common,2,['1', 'White'],Instant,,,,Target creature gets +1/+1 and gains flying and first strike until end of turn.,0.20,0.07,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366294&type=card
1,Aerial Modification,Aether Revolt ,Uncommon,5,['4', 'White'],Enchantment , Aura, Aura,,"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying.",0.20,0.02,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423668&type=card
20827,Aerial Predation,Iconic Masters ,Common,3,['2', 'Green'],Instant,,,,Destroy target creature with flying. You gain 2 life.,0.25,0.12,0.79,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=438720&type=card
11950,Aerie Bowmasters,Dragons of Tarkir ,Common,4,['2'," 'Green', 'Green']",Creature , Dog Archer , Dog Archer (3,4),"Reach (This creature can block creatures with flying.)
Megamorph (You may cast this card face down as a 2/2 creature for . Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",0.20,0.06,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394486&type=card
15452,Aerie Ouphes,Eventide ,Common,5,['4', 'Green'],Creature , Ouphe , Ouphe (3,3),"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",0.36,0.28,1.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153427&type=card
2900,Aerie Worshippers,Born of the Gods ,Uncommon,4,['3', 'Blue'],Creature , Human Cleric , Human Cleric (2,4),"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay . If you do, create a 2/2 blue Bird enchantment creature token with flying.",0.25,0.09,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=378402&type=card
2,Aeronaut Admiral,Aether Revolt ,Uncommon,4,['3', 'White'],Creature , Human Pilot , Human Pilot (3,1),"Flying
Vehicles you control have flying.",0.25,0.11,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423669&type=card
8365,"Aesi, Tyrant of Gyre Strait",Commander Legends ,Mythic,6,['4'," 'Green', 'Blue']",Legendary Creature , Serpent , Serpent (5,5),"You may play an additional land on each of your turns.
Whenever a land enters the battlefield under your control, you may draw a card.",0.28,0.20,1.18,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=500791&type=card
3,Aether Chaser,Aether Revolt ,Common,2,['1', 'Red'],Creature , Human Artificer , Human Artificer (2,1),"First strike
When Aether Chaser enters the battlefield, you get (two energy counters).
Whenever Aether Chaser attacks, you may pay . If you do, create a 1/1 colorless Servo artifact creature token.",0.25,0.11,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423743&type=card
9973,Aether Gust,Core Set 2020 ,Uncommon,2,['1', 'Blue'],Instant,,,,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,0.19,0.02,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=466796&type=card
4,Aether Herder,Aether Revolt ,Common,4,['3', 'Green'],Creature , Elf Artificer Druid , Elf Artificer Druid (3,3),"When Aether Herder enters the battlefield, you get (two energy counters).
Whenever Aether Herder attacks, you may pay . If you do, create a 1/1 colorless Servo artifact creature token.",0.20,0.04,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423769&type=card
23844,Aether Hub,Kaladesh ,Uncommon,0,['1'," 'White', 'White']",Land,,,,"When Aether Hub enters the battlefield, you get (an energy counter).
: Add .
, Pay : Add one mana of any color.",0.25,0.15,0.95,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417815&type=card
5,Aether Inspector,Aether Revolt ,Common,4,['3', 'White'],Creature , Dwarf Artificer , Dwarf Artificer (2,3),"Vigilance
When Aether Inspector enters the battlefield, you get (two energy counters).
Whenever Aether Inspector attacks, you may pay . If you do, create a 1/1 colorless Servo artifact creature token.",0.19,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423670&type=card
23845,Aether Meltdown,Kaladesh ,Uncommon,2,['1', 'Blue'],Enchantment , Aura, Aura,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature or Vehicle
When Aether Meltdown enters the battlefield, you get (two energy counters).
Enchanted creature gets -4/-0.",0.34,0.12,1.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417609&type=card
6,Aether Poisoner,Aether Revolt ,Common,2,['1', 'Black'],Creature , Human Artificer , Human Artificer (1,1),"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get (two energy counters).
Whenever Aether Poisoner attacks, you may pay . If you do, create a 1/1 colorless Servo artifact creature token.",0.19,0.03,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423718&type=card
23405,Aether Spellbomb,Jumpstart ,Common,1,['1'],,Artifact,,,,", Sacrifice Aether Spellbomb: Return target creature to its owner's hand.
, Sacrifice Aether Spellbomb: Draw a card.",0.33,0.28,7.06,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489439&type=card
7,Aether Swooper,Aether Revolt ,Common,2,['1', 'Blue'],Creature , Vedalken Artificer , Vedalken Artificer (1,2),"Flying
When Aether Swooper enters the battlefield, you get (two energy counters).
Whenever Aether Swooper attacks, you may pay . If you do, create a 1/1 colorless Servo artifact creature token.",0.20,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423693&type=card
23846,Aether Theorist,Kaladesh ,Common,2,['1', 'Blue'],Creature , Vedalken Rogue , Vedalken Rogue (1,3),"When Aether Theorist enters the battlefield, you get (three energy counters).
, Pay : Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",0.25,0.05,0.45,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417610&type=card
23847,Aether Tradewinds,Kaladesh ,Common,3,['2', 'Blue'],Instant,,,,Return target permanent you control and target permanent you don't control to their owners' hands.,0.20,0.06,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417611&type=card
9255,Aether Tunnel,Core Set 2019 ,Uncommon,2,['1', 'Blue'],Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.",0.25,0.04,0.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447179&type=card
20828,Aether Vial,Iconic Masters ,Rare,1,['1'],,Artifact,,,,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.
: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield.",66.49,52.42,197.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=438778&type=card
